sex,hlth_pb,geo,unit,time,isced11,value
Total,Cirrhosis of the liver,Lithuania,Percentage,2014,All ISCED 2011 levels,0.5
Total,Cirrhosis of the liver,Luxembourg,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Hungary,Percentage,2014,All ISCED 2011 levels,0.5
Total,Cirrhosis of the liver,Malta,Percentage,2014,All ISCED 2011 levels,0.4
Total,Cirrhosis of the liver,Netherlands,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Austria,Percentage,2014,All ISCED 2011 levels,0.2
Total,Cirrhosis of the liver,Poland,Percentage,2014,All ISCED 2011 levels,0.6
Total,Cirrhosis of the liver,Portugal,Percentage,2014,All ISCED 2011 levels,0.6
Total,Cirrhosis of the liver,Romania,Percentage,2014,All ISCED 2011 levels,0.5
Total,Cirrhosis of the liver,Slovenia,Percentage,2014,All ISCED 2011 levels,0.5
Total,Cirrhosis of the liver,Slovakia,Percentage,2014,All ISCED 2011 levels,0.6
Total,Cirrhosis of the liver,Finland,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Sweden,Percentage,2014,All ISCED 2011 levels,0.2
Total,Cirrhosis of the liver,United Kingdom,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Iceland,Percentage,2014,All ISCED 2011 levels,0.0
Total,Cirrhosis of the liver,Norway,Percentage,2014,All ISCED 2011 levels,0.2
Total,Cirrhosis of the liver,Turkey,Percentage,2014,All ISCED 2011 levels,1.6
Total,"Urinary incontinence, problems in controlling the bladder",European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,5.1
Total,"Urinary incontinence, problems in controlling the bladder",Belgium,Percentage,2014,All ISCED 2011 levels,4.2
Total,"Urinary incontinence, problems in controlling the bladder",Bulgaria,Percentage,2014,All ISCED 2011 levels,2.8
Total,"Urinary incontinence, problems in controlling the bladder",Czechia,Percentage,2014,All ISCED 2011 levels,4.9
Total,"Urinary incontinence, problems in controlling the bladder",Denmark,Percentage,2014,All ISCED 2011 levels,6.7
Total,"Urinary incontinence, problems in controlling the bladder",Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,8.1
Total,"Urinary incontinence, problems in controlling the bladder",Estonia,Percentage,2014,All ISCED 2011 levels,2.5
Total,"Urinary incontinence, problems in controlling the bladder",Ireland,Percentage,2014,All ISCED 2011 levels,7.0
Total,"Urinary incontinence, problems in controlling the bladder",Greece,Percentage,2014,All ISCED 2011 levels,3.2
Total,"Urinary incontinence, problems in controlling the bladder",Spain,Percentage,2014,All ISCED 2011 levels,4.1
Total,"Urinary incontinence, problems in controlling the bladder",France,Percentage,2014,All ISCED 2011 levels,5.4
Total,"Urinary incontinence, problems in controlling the bladder",Croatia,Percentage,2014,All ISCED 2011 levels,6.5
Total,"Urinary incontinence, problems in controlling the bladder",Italy,Percentage,2014,All ISCED 2011 levels,4.6
Total,"Urinary incontinence, problems in controlling the bladder",Cyprus,Percentage,2014,All ISCED 2011 levels,1.5
Total,"Urinary incontinence, problems in controlling the bladder",Latvia,Percentage,2014,All ISCED 2011 levels,9.4
Total,"Urinary incontinence, problems in controlling the bladder",Lithuania,Percentage,2014,All ISCED 2011 levels,5.6
Total,"Urinary incontinence, problems in controlling the bladder",Luxembourg,Percentage,2014,All ISCED 2011 levels,5.7
Total,"Urinary incontinence, problems in controlling the bladder",Hungary,Percentage,2014,All ISCED 2011 levels,5.2
Total,"Urinary incontinence, problems in controlling the bladder",Malta,Percentage,2014,All ISCED 2011 levels,2.7
Total,"Urinary incontinence, problems in controlling the bladder",Netherlands,Percentage,2014,All ISCED 2011 levels,6.6
Total,"Urinary incontinence, problems in controlling the bladder",Austria,Percentage,2014,All ISCED 2011 levels,3.6
Total,"Urinary incontinence, problems in controlling the bladder",Poland,Percentage,2014,All ISCED 2011 levels,4.2
Total,"Urinary incontinence, problems in controlling the bladder",Portugal,Percentage,2014,All ISCED 2011 levels,7.3
Total,"Urinary incontinence, problems in controlling the bladder",Romania,Percentage,2014,All ISCED 2011 levels,1.5
Total,"Urinary incontinence, problems in controlling the bladder",Slovenia,Percentage,2014,All ISCED 2011 levels,8.2
Total,"Urinary incontinence, problems in controlling the bladder",Slovakia,Percentage,2014,All ISCED 2011 levels,4.2
Total,"Urinary incontinence, problems in controlling the bladder",Finland,Percentage,2014,All ISCED 2011 levels,9.1
Total,"Urinary incontinence, problems in controlling the bladder",Sweden,Percentage,2014,All ISCED 2011 levels,6.8
Total,"Urinary incontinence, problems in controlling the bladder",United Kingdom,Percentage,2014,All ISCED 2011 levels,2.8
Total,"Urinary incontinence, problems in controlling the bladder",Iceland,Percentage,2014,All ISCED 2011 levels,7.4
Total,"Urinary incontinence, problems in controlling the bladder",Norway,Percentage,2014,All ISCED 2011 levels,2.2
Total,"Urinary incontinence, problems in controlling the bladder",Turkey,Percentage,2014,All ISCED 2011 levels,7.5
Total,Kidney problems,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,2.6
Total,Kidney problems,Belgium,Percentage,2014,All ISCED 2011 levels,1.0
Total,Kidney problems,Bulgaria,Percentage,2014,All ISCED 2011 levels,5.8
Total,Kidney problems,Czechia,Percentage,2014,All ISCED 2011 levels,2.3
Total,Kidney problems,Denmark,Percentage,2014,All ISCED 2011 levels,1.6
Total,Kidney problems,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,2.0
Total,Kidney problems,Estonia,Percentage,2014,All ISCED 2011 levels,2.2
Total,Kidney problems,Ireland,Percentage,2014,All ISCED 2011 levels,3.6
Total,Kidney problems,Greece,Percentage,2014,All ISCED 2011 levels,2.7
Total,Kidney problems,Spain,Percentage,2014,All ISCED 2011 levels,2.8
Total,Kidney problems,France,Percentage,2014,All ISCED 2011 levels,2.0
Total,Kidney problems,Croatia,Percentage,2014,All ISCED 2011 levels,4.4
Total,Kidney problems,Italy,Percentage,2014,All ISCED 2011 levels,3.7
Total,Kidney problems,Cyprus,Percentage,2014,All ISCED 2011 levels,1.6
Total,Kidney problems,Latvia,Percentage,2014,All ISCED 2011 levels,6.2
Total,Kidney problems,Lithuania,Percentage,2014,All ISCED 2011 levels,5.1
Total,Kidney problems,Luxembourg,Percentage,2014,All ISCED 2011 levels,3.0
Total,Kidney problems,Hungary,Percentage,2014,All ISCED 2011 levels,2.3
Total,Kidney problems,Malta,Percentage,2014,All ISCED 2011 levels,0.8
Total,Kidney problems,Netherlands,Percentage,2014,All ISCED 2011 levels,2.0
Total,Kidney problems,Austria,Percentage,2014,All ISCED 2011 levels,1.5
Total,Kidney problems,Poland,Percentage,2014,All ISCED 2011 levels,4.1
Total,Kidney problems,Portugal,Percentage,2014,All ISCED 2011 levels,4.6
Total,Kidney problems,Romania,Percentage,2014,All ISCED 2011 levels,1.9
Total,Kidney problems,Slovenia,Percentage,2014,All ISCED 2011 levels,5.0
Total,Kidney problems,Slovakia,Percentage,2014,All ISCED 2011 levels,3.5
Total,Kidney problems,Finland,Percentage,2014,All ISCED 2011 levels,1.4
Total,Kidney problems,Sweden,Percentage,2014,All ISCED 2011 levels,1.6
Total,Kidney problems,United Kingdom,Percentage,2014,All ISCED 2011 levels,1.8
Total,Kidney problems,Iceland,Percentage,2014,All ISCED 2011 levels,2.8
Total,Kidney problems,Norway,Percentage,2014,All ISCED 2011 levels,0.6
Total,Kidney problems,Turkey,Percentage,2014,All ISCED 2011 levels,7.5
Total,Diabetes,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,6.9
Total,Diabetes,Belgium,Percentage,2014,All ISCED 2011 levels,5.3
Total,Diabetes,Bulgaria,Percentage,2014,All ISCED 2011 levels,6.4
Total,Diabetes,Czechia,Percentage,2014,All ISCED 2011 levels,7.7
Total,Diabetes,Denmark,Percentage,2014,All ISCED 2011 levels,4.6
Total,Diabetes,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,7.2
Total,Diabetes,Estonia,Percentage,2014,All ISCED 2011 levels,5.5
Total,Diabetes,Ireland,Percentage,2014,All ISCED 2011 levels,4.6
Total,Diabetes,Greece,Percentage,2014,All ISCED 2011 levels,9.2
Total,Diabetes,Spain,Percentage,2014,All ISCED 2011 levels,6.8
Total,Diabetes,France,Percentage,2014,All ISCED 2011 levels,10.0
Total,Diabetes,Croatia,Percentage,2014,All ISCED 2011 levels,7.1
Total,Diabetes,Italy,Percentage,2014,All ISCED 2011 levels,6.7
Total,Diabetes,Cyprus,Percentage,2014,All ISCED 2011 levels,6.1
Total,Diabetes,Latvia,Percentage,2014,All ISCED 2011 levels,4.7
Total,Diabetes,Lithuania,Percentage,2014,All ISCED 2011 levels,4.4
Total,Diabetes,Luxembourg,Percentage,2014,All ISCED 2011 levels,5.6
Total,Diabetes,Hungary,Percentage,2014,All ISCED 2011 levels,8.1
Total,Diabetes,Malta,Percentage,2014,All ISCED 2011 levels,8.3
Total,Diabetes,Netherlands,Percentage,2014,All ISCED 2011 levels,5.4
Total,Diabetes,Austria,Percentage,2014,All ISCED 2011 levels,4.9
Total,Diabetes,Poland,Percentage,2014,All ISCED 2011 levels,6.6
Total,Diabetes,Portugal,Percentage,2014,All ISCED 2011 levels,9.3
Total,Diabetes,Romania,Percentage,2014,All ISCED 2011 levels,4.8
Total,Diabetes,Slovenia,Percentage,2014,All ISCED 2011 levels,6.9
Total,Diabetes,Slovakia,Percentage,2014,All ISCED 2011 levels,6.9
Total,Diabetes,Finland,Percentage,2014,All ISCED 2011 levels,7.7
Total,Diabetes,Sweden,Percentage,2014,All ISCED 2011 levels,4.8
Total,Diabetes,United Kingdom,Percentage,2014,All ISCED 2011 levels,5.8
Total,Diabetes,Iceland,Percentage,2014,All ISCED 2011 levels,4.3
Total,Diabetes,Norway,Percentage,2014,All ISCED 2011 levels,4.2
Total,Diabetes,Turkey,Percentage,2014,All ISCED 2011 levels,9.0
Total,Allergy,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,16.9
Total,Allergy,Belgium,Percentage,2014,All ISCED 2011 levels,14.2
Total,Allergy,Bulgaria,Percentage,2014,All ISCED 2011 levels,4.4
Total,Allergy,Czechia,Percentage,2014,All ISCED 2011 levels,11.7
Total,Allergy,Denmark,Percentage,2014,All ISCED 2011 levels,16.3
Total,Allergy,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,29.0
Total,Allergy,Estonia,Percentage,2014,All ISCED 2011 levels,8.7
Total,Allergy,Ireland,Percentage,2014,All ISCED 2011 levels,13.2
Total,Allergy,Greece,Percentage,2014,All ISCED 2011 levels,9.5
Total,Allergy,Spain,Percentage,2014,All ISCED 2011 levels,14.1
Total,Allergy,France,Percentage,2014,All ISCED 2011 levels,14.1
Total,Allergy,Croatia,Percentage,2014,All ISCED 2011 levels,13.4
Total,Allergy,Italy,Percentage,2014,All ISCED 2011 levels,14.9
Total,Allergy,Cyprus,Percentage,2014,All ISCED 2011 levels,6.2
Total,Allergy,Latvia,Percentage,2014,All ISCED 2011 levels,11.5
Total,Allergy,Lithuania,Percentage,2014,All ISCED 2011 levels,7.6
Total,Allergy,Luxembourg,Percentage,2014,All ISCED 2011 levels,25.0
Total,Allergy,Hungary,Percentage,2014,All ISCED 2011 levels,14.8
Total,Allergy,Malta,Percentage,2014,All ISCED 2011 levels,15.5
Total,Allergy,Netherlands,Percentage,2014,All ISCED 2011 levels,19.0
Total,Allergy,Austria,Percentage,2014,All ISCED 2011 levels,24.2
Total,Allergy,Poland,Percentage,2014,All ISCED 2011 levels,8.7
Total,Allergy,Portugal,Percentage,2014,All ISCED 2011 levels,19.4
Total,Allergy,Romania,Percentage,2014,All ISCED 2011 levels,1.4
Total,Allergy,Slovenia,Percentage,2014,All ISCED 2011 levels,16.6
Total,Allergy,Slovakia,Percentage,2014,All ISCED 2011 levels,13.3
Total,Allergy,Finland,Percentage,2014,All ISCED 2011 levels,31.6
Total,Allergy,Sweden,Percentage,2014,All ISCED 2011 levels,22.1
Total,Allergy,United Kingdom,Percentage,2014,All ISCED 2011 levels,20.3
Total,Allergy,Iceland,Percentage,2014,All ISCED 2011 levels,23.3
Total,Allergy,Norway,Percentage,2014,All ISCED 2011 levels,18.9
Total,Allergy,Turkey,Percentage,2014,All ISCED 2011 levels,12.1
Total,Chronic depression,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,7.1
Total,Chronic depression,Belgium,Percentage,2014,All ISCED 2011 levels,6.7
Total,Chronic depression,Bulgaria,Percentage,2014,All ISCED 2011 levels,3.2
Total,Chronic depression,Czechia,Percentage,2014,All ISCED 2011 levels,3.9
Total,Chronic depression,Denmark,Percentage,2014,All ISCED 2011 levels,8.0
Total,Chronic depression,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,10.6
Total,Chronic depression,Estonia,Percentage,2014,All ISCED 2011 levels,4.8
Total,Chronic depression,Ireland,Percentage,2014,All ISCED 2011 levels,12.1
Total,Chronic depression,Greece,Percentage,2014,All ISCED 2011 levels,4.7
Total,Chronic depression,Spain,Percentage,2014,All ISCED 2011 levels,7.8
Total,Chronic depression,France,Percentage,2014,All ISCED 2011 levels,5.9
Total,Chronic depression,Croatia,Percentage,2014,All ISCED 2011 levels,5.7
Total,Chronic depression,Italy,Percentage,2014,All ISCED 2011 levels,5.5
Total,Chronic depression,Cyprus,Percentage,2014,All ISCED 2011 levels,3.6
Total,Chronic depression,Latvia,Percentage,2014,All ISCED 2011 levels,9.1
Total,Chronic depression,Lithuania,Percentage,2014,All ISCED 2011 levels,4.7
Total,Chronic depression,Luxembourg,Percentage,2014,All ISCED 2011 levels,9.5
Total,Chronic depression,Hungary,Percentage,2014,All ISCED 2011 levels,4.9
Total,Chronic depression,Malta,Percentage,2014,All ISCED 2011 levels,5.4
Total,Chronic depression,Netherlands,Percentage,2014,All ISCED 2011 levels,7.9
Total,Chronic depression,Austria,Percentage,2014,All ISCED 2011 levels,7.7
Total,Chronic depression,Poland,Percentage,2014,All ISCED 2011 levels,4.2
Total,Chronic depression,Portugal,Percentage,2014,All ISCED 2011 levels,11.9
Total,Chronic depression,Romania,Percentage,2014,All ISCED 2011 levels,1.5
Total,Chronic depression,Slovenia,Percentage,2014,All ISCED 2011 levels,8.8
Total,Chronic depression,Slovakia,Percentage,2014,All ISCED 2011 levels,4.2
Total,Chronic depression,Finland,Percentage,2014,All ISCED 2011 levels,10.5
Total,Chronic depression,Sweden,Percentage,2014,All ISCED 2011 levels,9.6
Total,Chronic depression,United Kingdom,Percentage,2014,All ISCED 2011 levels,8.9
Total,Chronic depression,Iceland,Percentage,2014,All ISCED 2011 levels,14.8
Total,Chronic depression,Norway,Percentage,2014,All ISCED 2011 levels,6.9
Total,Chronic depression,Turkey,Percentage,2014,All ISCED 2011 levels,11.0
Males,Arthrosis,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,10.0
Males,Arthrosis,Belgium,Percentage,2014,All ISCED 2011 levels,11.8
Males,Arthrosis,Bulgaria,Percentage,2014,All ISCED 2011 levels,4.5
Males,Arthrosis,Czechia,Percentage,2014,All ISCED 2011 levels,9.9
Males,Arthrosis,Denmark,Percentage,2014,All ISCED 2011 levels,14.0
Males,Arthrosis,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,12.8
Males,Arthrosis,Estonia,Percentage,2014,All ISCED 2011 levels,2.0
Males,Arthrosis,Ireland,Percentage,2014,All ISCED 2011 levels,3.5
Males,Arthrosis,Greece,Percentage,2014,All ISCED 2011 levels,3.5
Males,Arthrosis,Spain,Percentage,2014,All ISCED 2011 levels,11.1
Males,Arthrosis,France,Percentage,2014,All ISCED 2011 levels,14.9
Males,Arthrosis,Croatia,Percentage,2014,All ISCED 2011 levels,3.7
Males,Arthrosis,Italy,Percentage,2014,All ISCED 2011 levels,12.0
Males,Arthrosis,Cyprus,Percentage,2014,All ISCED 2011 levels,2.8
Males,Arthrosis,Latvia,Percentage,2014,All ISCED 2011 levels,6.6
Males,Arthrosis,Lithuania,Percentage,2014,All ISCED 2011 levels,4.0
Males,Arthrosis,Luxembourg,Percentage,2014,All ISCED 2011 levels,12.6
Males,Arthrosis,Hungary,Percentage,2014,All ISCED 2011 levels,17.1
Males,Arthrosis,Malta,Percentage,2014,All ISCED 2011 levels,9.1
Males,Arthrosis,Netherlands,Percentage,2014,All ISCED 2011 levels,11.7
Males,Arthrosis,Austria,Percentage,2014,All ISCED 2011 levels,8.3
Males,Arthrosis,Poland,Percentage,2014,All ISCED 2011 levels,10.3
Males,Arthrosis,Portugal,Percentage,2014,All ISCED 2011 levels,15.4
Males,Arthrosis,Romania,Percentage,2014,All ISCED 2011 levels,3.0
Males,Arthrosis,Slovenia,Percentage,2014,All ISCED 2011 levels,2.6
Males,Arthrosis,Slovakia,Percentage,2014,All ISCED 2011 levels,8.1
Males,Arthrosis,Finland,Percentage,2014,All ISCED 2011 levels,16.8
Males,Arthrosis,Sweden,Percentage,2014,All ISCED 2011 levels,8.5
Males,Arthrosis,United Kingdom,Percentage,2014,All ISCED 2011 levels,1.8
Males,Arthrosis,Iceland,Percentage,2014,All ISCED 2011 levels,10.0
Males,Arthrosis,Norway,Percentage,2014,All ISCED 2011 levels,7.1
Males,Arthrosis,Turkey,Percentage,2014,All ISCED 2011 levels,5.4
Males,Low back disorder or other chronic back defect,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,20.6
Males,Low back disorder or other chronic back defect,Belgium,Percentage,2014,All ISCED 2011 levels,18.7
Males,Low back disorder or other chronic back defect,Bulgaria,Percentage,2014,All ISCED 2011 levels,7.9
Males,Low back disorder or other chronic back defect,Czechia,Percentage,2014,All ISCED 2011 levels,17.0
Males,Low back disorder or other chronic back defect,Denmark,Percentage,2014,All ISCED 2011 levels,12.2
Males,Low back disorder or other chronic back defect,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,35.1
Males,Low back disorder or other chronic back defect,Estonia,Percentage,2014,All ISCED 2011 levels,22.6
Males,Low back disorder or other chronic back defect,Ireland,Percentage,2014,All ISCED 2011 levels,16.9
Males,Low back disorder or other chronic back defect,Greece,Percentage,2014,All ISCED 2011 levels,14.1
Males,Low back disorder or other chronic back defect,Spain,Percentage,2014,All ISCED 2011 levels,15.5
Males,Low back disorder or other chronic back defect,France,Percentage,2014,All ISCED 2011 levels,27.6
Males,Low back disorder or other chronic back defect,Croatia,Percentage,2014,All ISCED 2011 levels,25.1
Males,Low back disorder or other chronic back defect,Italy,Percentage,2014,All ISCED 2011 levels,16.2
Males,Low back disorder or other chronic back defect,Cyprus,Percentage,2014,All ISCED 2011 levels,10.9
Males,Low back disorder or other chronic back defect,Latvia,Percentage,2014,All ISCED 2011 levels,31.2
Males,Low back disorder or other chronic back defect,Lithuania,Percentage,2014,All ISCED 2011 levels,22.5
Males,Low back disorder or other chronic back defect,Luxembourg,Percentage,2014,All ISCED 2011 levels,28.2
Males,Low back disorder or other chronic back defect,Hungary,Percentage,2014,All ISCED 2011 levels,28.8
Males,Low back disorder or other chronic back defect,Malta,Percentage,2014,All ISCED 2011 levels,11.3
Males,Low back disorder or other chronic back defect,Netherlands,Percentage,2014,All ISCED 2011 levels,9.4
Males,Low back disorder or other chronic back defect,Austria,Percentage,2014,All ISCED 2011 levels,22.9
Males,Low back disorder or other chronic back defect,Poland,Percentage,2014,All ISCED 2011 levels,21.2
Males,Low back disorder or other chronic back defect,Portugal,Percentage,2014,All ISCED 2011 levels,25.3
Males,Low back disorder or other chronic back defect,Romania,Percentage,2014,All ISCED 2011 levels,9.3
Males,Low back disorder or other chronic back defect,Slovenia,Percentage,2014,All ISCED 2011 levels,35.4
Males,Low back disorder or other chronic back defect,Slovakia,Percentage,2014,All ISCED 2011 levels,13.2
Males,Low back disorder or other chronic back defect,Finland,Percentage,2014,All ISCED 2011 levels,32.1
Males,Low back disorder or other chronic back defect,Sweden,Percentage,2014,All ISCED 2011 levels,12.7
Males,Low back disorder or other chronic back defect,United Kingdom,Percentage,2014,All ISCED 2011 levels,11.6
Males,Low back disorder or other chronic back defect,Iceland,Percentage,2014,All ISCED 2011 levels,21.8
Males,Low back disorder or other chronic back defect,Norway,Percentage,2014,All ISCED 2011 levels,14.1
Males,Low back disorder or other chronic back defect,Turkey,Percentage,2014,All ISCED 2011 levels,26.5
Males,Neck disorder or other chronic neck defect,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,12.6
Males,Neck disorder or other chronic neck defect,Belgium,Percentage,2014,All ISCED 2011 levels,9.1
Males,Neck disorder or other chronic neck defect,Bulgaria,Percentage,2014,All ISCED 2011 levels,3.5
Males,Neck disorder or other chronic neck defect,Czechia,Percentage,2014,All ISCED 2011 levels,6.9
Males,Neck disorder or other chronic neck defect,Denmark,Percentage,2014,All ISCED 2011 levels,5.6
Males,Neck disorder or other chronic neck defect,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,25.9
Males,Neck disorder or other chronic neck defect,Estonia,Percentage,2014,All ISCED 2011 levels,6.2
Males,Neck disorder or other chronic neck defect,Ireland,Percentage,2014,All ISCED 2011 levels,7.1
Males,Neck disorder or other chronic neck defect,Greece,Percentage,2014,All ISCED 2011 levels,6.2
Males,Neck disorder or other chronic neck defect,Spain,Percentage,2014,All ISCED 2011 levels,10.7
Males,Neck disorder or other chronic neck defect,France,Percentage,2014,All ISCED 2011 levels,11.4
Males,Neck disorder or other chronic neck defect,Croatia,Percentage,2014,All ISCED 2011 levels,17.8
Males,Neck disorder or other chronic neck defect,Italy,Percentage,2014,All ISCED 2011 levels,12.6
Males,Neck disorder or other chronic neck defect,Cyprus,Percentage,2014,All ISCED 2011 levels,4.6
Males,Neck disorder or other chronic neck defect,Latvia,Percentage,2014,All ISCED 2011 levels,15.3
Males,Neck disorder or other chronic neck defect,Lithuania,Percentage,2014,All ISCED 2011 levels,6.2
Males,Neck disorder or other chronic neck defect,Luxembourg,Percentage,2014,All ISCED 2011 levels,12.1
Males,Neck disorder or other chronic neck defect,Hungary,Percentage,2014,All ISCED 2011 levels,11.0
Males,Neck disorder or other chronic neck defect,Malta,Percentage,2014,All ISCED 2011 levels,4.4
Males,Neck disorder or other chronic neck defect,Netherlands,Percentage,2014,All ISCED 2011 levels,8.3
Males,Neck disorder or other chronic neck defect,Austria,Percentage,2014,All ISCED 2011 levels,14.1
Males,Neck disorder or other chronic neck defect,Poland,Percentage,2014,All ISCED 2011 levels,13.0
Males,Neck disorder or other chronic neck defect,Portugal,Percentage,2014,All ISCED 2011 levels,15.5
Males,Neck disorder or other chronic neck defect,Romania,Percentage,2014,All ISCED 2011 levels,4.0
Males,Neck disorder or other chronic neck defect,Slovenia,Percentage,2014,All ISCED 2011 levels,18.3
Males,Neck disorder or other chronic neck defect,Slovakia,Percentage,2014,All ISCED 2011 levels,8.4
Males,Neck disorder or other chronic neck defect,Finland,Percentage,2014,All ISCED 2011 levels,26.4
Males,Neck disorder or other chronic neck defect,Sweden,Percentage,2014,All ISCED 2011 levels,12.5
Males,Neck disorder or other chronic neck defect,United Kingdom,Percentage,2014,All ISCED 2011 levels,4.9
Males,Neck disorder or other chronic neck defect,Iceland,Percentage,2014,All ISCED 2011 levels,10.3
Males,Neck disorder or other chronic neck defect,Norway,Percentage,2014,All ISCED 2011 levels,7.4
Males,Neck disorder or other chronic neck defect,Turkey,Percentage,2014,All ISCED 2011 levels,14.0
Males,Asthma,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,5.2
Males,Asthma,Belgium,Percentage,2014,All ISCED 2011 levels,4.4
Males,Asthma,Bulgaria,Percentage,2014,All ISCED 2011 levels,2.1
Males,Asthma,Czechia,Percentage,2014,All ISCED 2011 levels,3.6
Males,Asthma,Denmark,Percentage,2014,All ISCED 2011 levels,6.5
Males,Asthma,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,5.3
Males,Asthma,Estonia,Percentage,2014,All ISCED 2011 levels,2.7
Males,Asthma,Ireland,Percentage,2014,All ISCED 2011 levels,8.1
Males,Asthma,Greece,Percentage,2014,All ISCED 2011 levels,3.6
Males,Asthma,Spain,Percentage,2014,All ISCED 2011 levels,4.0
Males,Asthma,France,Percentage,2014,All ISCED 2011 levels,8.0
Males,Asthma,Croatia,Percentage,2014,All ISCED 2011 levels,2.9
Males,Asthma,Italy,Percentage,2014,All ISCED 2011 levels,4.7
Males,Asthma,Cyprus,Percentage,2014,All ISCED 2011 levels,3.9
Males,Asthma,Latvia,Percentage,2014,All ISCED 2011 levels,2.5
Males,Asthma,Lithuania,Percentage,2014,All ISCED 2011 levels,2.2
Males,Asthma,Luxembourg,Percentage,2014,All ISCED 2011 levels,6.3
Males,Asthma,Hungary,Percentage,2014,All ISCED 2011 levels,4.1
Males,Asthma,Malta,Percentage,2014,All ISCED 2011 levels,4.7
Males,Asthma,Netherlands,Percentage,2014,All ISCED 2011 levels,4.5
Males,Asthma,Austria,Percentage,2014,All ISCED 2011 levels,4.0
Males,Asthma,Poland,Percentage,2014,All ISCED 2011 levels,3.5
Males,Asthma,Portugal,Percentage,2014,All ISCED 2011 levels,4.1
Males,Asthma,Romania,Percentage,2014,All ISCED 2011 levels,1.8
Males,Asthma,Slovenia,Percentage,2014,All ISCED 2011 levels,4.6
Males,Asthma,Slovakia,Percentage,2014,All ISCED 2011 levels,2.8
Males,Asthma,Finland,Percentage,2014,All ISCED 2011 levels,7.2
Males,Asthma,Sweden,Percentage,2014,All ISCED 2011 levels,6.1
Males,Asthma,United Kingdom,Percentage,2014,All ISCED 2011 levels,8.0
Males,Asthma,Iceland,Percentage,2014,All ISCED 2011 levels,6.9
Males,Asthma,Norway,Percentage,2014,All ISCED 2011 levels,5.3
Males,Asthma,Turkey,Percentage,2014,All ISCED 2011 levels,5.2
Males,Chronic lower respiratory diseases (excluding asthma),European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,3.9
Males,Chronic lower respiratory diseases (excluding asthma),Belgium,Percentage,2014,All ISCED 2011 levels,3.5
Males,Chronic lower respiratory diseases (excluding asthma),Bulgaria,Percentage,2014,All ISCED 2011 levels,4.1
Males,Chronic lower respiratory diseases (excluding asthma),Czechia,Percentage,2014,All ISCED 2011 levels,2.3
Males,Chronic lower respiratory diseases (excluding asthma),Denmark,Percentage,2014,All ISCED 2011 levels,3.8
Males,Chronic lower respiratory diseases (excluding asthma),Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,5.2
Males,Chronic lower respiratory diseases (excluding asthma),Estonia,Percentage,2014,All ISCED 2011 levels,1.9
Males,Chronic lower respiratory diseases (excluding asthma),Ireland,Percentage,2014,All ISCED 2011 levels,3.0
Males,Chronic lower respiratory diseases (excluding asthma),Greece,Percentage,2014,All ISCED 2011 levels,3.7
Males,Chronic lower respiratory diseases (excluding asthma),Spain,Percentage,2014,All ISCED 2011 levels,3.6
Males,Chronic lower respiratory diseases (excluding asthma),France,Percentage,2014,All ISCED 2011 levels,4.9
Males,Chronic lower respiratory diseases (excluding asthma),Croatia,Percentage,2014,All ISCED 2011 levels,4.3
Males,Chronic lower respiratory diseases (excluding asthma),Italy,Percentage,2014,All ISCED 2011 levels,4.9
Males,Chronic lower respiratory diseases (excluding asthma),Cyprus,Percentage,2014,All ISCED 2011 levels,1.7
Males,Chronic lower respiratory diseases (excluding asthma),Latvia,Percentage,2014,All ISCED 2011 levels,2.8
Males,Chronic lower respiratory diseases (excluding asthma),Lithuania,Percentage,2014,All ISCED 2011 levels,4.6
Males,Chronic lower respiratory diseases (excluding asthma),Luxembourg,Percentage,2014,All ISCED 2011 levels,5.7
Males,Chronic lower respiratory diseases (excluding asthma),Hungary,Percentage,2014,All ISCED 2011 levels,3.1
