"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
572,"NCT00432081","Effect of Indomethacin on the Progression of Alzheimer's Disease",,"Completed","No Results Available","Alzheimer Disease","Drug: indomethacin","Score on the Cognitive subscale of the Alzheimer’s Disease Assessment Scale at 12 months.|Score on the Noncognitive subscale of the Alzheimer’s Disease Assessment Scale at 12 months|Score on the Clinician Interview-Based Impression of Change with caregiver input at 12 months|Score on the Mini-Mental State Examination at 12 months|Score on the Neuropsychiatric Inventory at 12 months|Score on the The Interview for Deterioration in Daily living activities in Dementia at 12 months|The occurrence of adverse events during 12 months of treatment","Radboud University|American Health Assistance Foundation|Netherlands Brain Foundation|Netherlands Alzheimer Foundation","All","40 Years to 90 Years   (Adult, Older Adult)","Phase 3","160","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","A2001-15-DDJ|917.46.331","May 2000",,"August 2005","February 6, 2007",,"February 6, 2007","Rijnstate Hospital, Arnhem, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands",,"https://ClinicalTrials.gov/show/NCT00432081"
573,"NCT00955409","Long Term Extension Study Evaluating Safety, Tolerability and Immunogenicity Of ACC-001 In Subjects With Mild To Moderate Alzheimer's Disease",,"Completed","No Results Available","Alzheimer Disease","Drug: ACC-001+ QS21|Drug: ACC-001|Drug: ACC-001 + QS21","Incidence and severity of treatment emergent adverse events; clinically important changes in safety assessment results including adverse events , vital signs, weight, clinical laboratory tests, ECGs, MRI scans, and physical and neurological examinations.|Change from baseline levels of anti-A-beta IgG, Anti-A-beta IgM and IgG subclass antibody levels at selected time points.","Pfizer|JANSSEN Alzheimer Immunotherapy Research & Development, LLC","All","Child, Adult, Older Adult","Phase 2","50","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3134K1-2203|B2571007","November 2009","December 2013","December 2013","August 10, 2009",,"January 31, 2014","Pfizer Investigational Site, Bordeaux, France|Pfizer Investigational Site, Lille, France|Pfizer Investigational Site, Marseille cedex 5, France|Pfizer Investigational Site, Paris Cedex 13, France|Pfizer Investigational Site, Paris, France|Pfizer Investigational Site, Toulouse cedex 9, France|Pfizer Investigational Site, Berlin, Germany|Pfizer Investigational Site, Bonn, Germany|Pfizer Investigational Site, Bonn, Germany|Pfizer Investigational Site, Freiburg, Germany|Pfizer Investigational Site, Goettingen, Germany|Pfizer Investigational Site, Mannheim, Germany|Pfizer Investigational Site, Munich, Germany|Pfizer Investigational Site, Barcelona, Spain|Pfizer Investigational Site, Barcelona, Spain|Pfizer Investigational Site, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT00955409"
574,"NCT00477659","Neural Correlates In Mild Alzheimer's Disease",,"Completed","No Results Available","Alzheimer's Disease","Drug: donepezil HCl (Aricept)","Functional magnetic resonance imaging to identify neural correlates of cognitive improvement after 3 months of donepezil HCl in subjects w/ mild AD, using the Functional Hippocampus Connectivity Index (HCI) and Cerebral Blood Flow (CBF) Perfusion|Mini Mental State Exam, Alzheimer's Disease Assess,emt Scale-cognitive subscale, Neuropsychiatric Inventory and Instrumental Activities of Daily Living scales at screen and week 12.","Eisai Inc.|Pfizer","All","50 Years and older   (Adult, Older Adult)","Phase 4","14","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","A2501055|E2020-A001-416","July 2007","August 2008","August 2008","May 24, 2007",,"May 7, 2009","Pfizer Investigational Site, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT00477659"
575,"NCT00015548","CATIE-Alzheimer's Disease Trial",,"Completed","No Results Available","Alzheimer's Disease","Drug: Olanzapine|Drug: Quetiapine|Drug: Risperidone|Drug: Citalopram",,"National Institute of Mental Health (NIMH)","All","Child, Adult, Older Adult","Not Applicable","450","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","N01 MH090001-05|N01 MH90001-AD|DSIR AT","March 2001",,"October 2004","April 23, 2001",,"June 17, 2015","Tuscaloosa VA Medical Center, Tuscaloosa, Alabama, United States|University of California, Irvine Medical Center, Irvine, California, United States|University of Southern California Dept of Psychiatry& Behavioral Sciences, Los Angeles, California, United States|University of California, Los Angeles, VA Medical Center, Los Angeles, California, United States|University of California-San Diego, VA Medical Center, San Diego, California, United States|Stanford University School of Medicine, Stanford, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Mental Health Advocates, Inc., Boca Raton, Florida, United States|Berma Research Group, Hialeah, Florida, United States|University of South Florida Suncoast Gerontology Center, Tampa, Florida, United States|Palm Beach Neurology/Premiere Research Institute, West Palm Beach, Florida, United States|Emory University - Wesley Woods Health Center, Atlanta, Georgia, United States|University of Hawaii, Honolulu, Hawaii, United States|Northwestern University Medical School, Chicago, Illinois, United States|Southern Illinois School of Medicine, Springfield, Illinois, United States|University of Iowa College of Medicine, Iowa City, Iowa, United States|Louisiana State University Health Sciences Center, Shreveport, Louisiana, United States|Johns Hopkins University, Baltimore, Maryland, United States|Millennium Psychiatric Associates, St. Louis, Missouri, United States|University of Medicine and Dentistry of New Jersey, Piscataway, New Jersey, United States|University of Medicine and Dentistry of New Jersey-Stratford, Stratford, New Jersey, United States|Mount Sinai School of Medicine, New York, New York, United States|Columbia University, New York, New York, United States|Global Research and Consulting, Olean, New York, United States|Monroe Community Hospital, Rochester, New York, United States|Staten Island University Hospital, Staten Island, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University School of Medicine, Winston Salem, North Carolina, United States|University Hospital Health Systems-Laurelwood Hospital, Willoughby, Ohio, United States|VA Medical Center, Coatesville, Pennsylvania, United States|Mental Illness Research Education and Clinical Center, Philadelphia, Pennsylvania, United States|Medical University of South Carolina, North Charleston, South Carolina, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Southwestern Vermont Medical Center- The Memory Clinic, Bennington, Vermont, United States",,"https://ClinicalTrials.gov/show/NCT00015548"
576,"NCT00948259","Safety Study of a Glycogen Synthase Kinase 3 (GSK3) Inhibitor in Patients With Alzheimer´s Disease",,"Completed","No Results Available","Alzheimer´s Disease","Drug: NP031112|Drug: Placebo","Incidence rates and severity of clinical adverse events and lab abnormalities for each dose level and placebo|Effect of treatment with four doses of NP031112 on cognition and depressive mood","Noscira SA","All","60 Years to 85 Years   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","NP031112-08B03 (CR080901)","December 2008","November 2009","November 2009","July 29, 2009",,"November 11, 2009","Pharmacologische Studiecentrum Chemnitz, Chemnitz, Germany|Arzneimittelforschung Leipzig GmbH, Leipzig, Germany|Studienzentrum PD Dr. Steinwachs, Nürnberg, Germany",,"https://ClinicalTrials.gov/show/NCT00948259"
577,"NCT00959192","Safety, Tolerability, And Immunogenicity Study Of ACC-001 In Japanese Subjects With Mild To Moderate Alzheimer's Disease",,"Completed","Has Results","Alzheimer's Disease","Biological: ACC-001|Other: QS-21","Incidence of Treatment-emergent Adverse Events (AEs) by Severity|Number of Participants With Brain Abnormalities in Magnetic Resonance Imaging (MRI) Data|Number of Participants With Abnormalities in Neurological Examination|Anti-a-beta IgG Titer at Specified Visits|Anti-a-beta IgM Titer at Specified Visits","Pfizer|JANSSEN Alzheimer Immunotherapy Research & Development, LLC","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3134K1-2206|B2571009","August 2009","January 2013","January 2013","August 14, 2009","January 1, 2016","January 1, 2016","Meitetsu Hospital, Aichi, Japan|Ibaraki Prefectural Central Hospital, Ibaraki, Japan|Shonan Atsugi Hospital, Kanagawa, Japan|Kitasato University East Hospital, Kanagawa, Japan|Tazuke Kofukai Medical Research Institute Kitano Hospital, Osaka, Japan|The Jikei University School of medicine, Tokyo, Japan|Juntendo University Hospital, Tokyo, Japan|Juntendo Tokyo Koto Geriatric Medical Center, Tokyo, Japan|Kanto Ctrl Hp of the Mutual Aid Asso of Public school Teache, Tokyo, Japan",,"https://ClinicalTrials.gov/show/NCT00959192"
578,"NCT00672945","A Study of PRX-03140 in Subjects With Alzheimer's Disease Receiving a Stable Dose of Donepezil",,"Terminated","No Results Available","Alzheimer's Disease","Drug: PRX-03140|Drug: Placebo","Alzheimer's Disease Assessment Scale-Cognitive subscale.","Epix Pharmaceuticals, Inc.","All","50 Years to 90 Years   (Adult, Older Adult)","Phase 2","420","Industry","Interventional","Primary Purpose: Treatment","Protocol 01340-202","April 2008","January 2010",,"May 6, 2008",,"July 30, 2009","Barrow Neurological Institute, Phoenix, Arizona, United States|PsyPharma Clinical Research, Inc., Phoenix, Arizona, United States|Northwest NeuroSpecialists, PLLC, Tucson, Arizona, United States|Synergy Clinical Research Center, National City, California, United States|Pacific Neuroscience Medical Group, Oxnard, California, United States|California Neuroscience Research Medical Group, Inc., Sherman Oaks, California, United States|Torrance Clinical Research, Torrance, California, United States|Bradenton Research Center, Bradenton, Florida, United States|Brain Matters Research, Delray Beach, Florida, United States|Clinical Neuroscience Solutions, Inc., Jacksonville, Florida, United States|Renstar Medical Research, Ocala, Florida, United States|Compass Research, Orlando, Florida, United States|Berma Research Group, Plantation, Florida, United States|Meridien Research, St. Petersburg, Florida, United States|Stedman Clinical Trials, Tampa, Florida, United States|Roskamp Institute, Tampa, Florida, United States|Alexian Brothers Neroscience Institute, Elk Grove Village, Illinois, United States|Four Rivers Clinical Research, Paducah, Kentucky, United States|J. Gary Booker, MD, Shreveport, Louisiana, United States|Maine Neurology, Scarborough, Maine, United States|The ICPS Group, Norwood, Massachusetts, United States|Memory Center of America, Long Beach, New Jersey, United States|Alzheimer's Research Corporation, Manchester, New Jersey, United States|Global Medical Institutes, Princeton, New Jersey, United States|Neurological Associates of Albany, P.C., Albany, New York, United States|Social Psychiatry Research Institute, Brooklyn, New York, United States|The Mount Sinai Medical Center, New York, New York, United States|Behavioral Medical Research of Staten Island, Staten Island, New York, United States|The Neurological Institute, P.A., Charlotte, North Carolina, United States|MedArk, Morgantown, North Carolina, United States|Neurology and Neuroscience Center of Ohio, Toledo, Ohio, United States|Tulsa Clinical Research, LLC, Tulsa, Oklahoma, United States|RI Mood and Memory Research Institute, East Providence, Rhode Island, United States|Todd Swick, MD, PA, Houston, Texas, United States|The Memory Clinic, Bennington, Vermont, United States|University of Vermont, Burlington, Vermont, United States|The Glennan Center for Geriatrics & Gerontology, Eastern Virginia Medical School, Norfolk, Virginia, United States|The Center for Excellence in Aging and Geriatric Health, Williamsburg, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00672945"
579,"NCT00704782","Study of Combination Therapy With Dimebon and Donepezil (Aricept) in Patients With Alzheimer's Disease",,"Terminated","No Results Available","Alzheimer's Disease","Drug: dimebon","To assess the safety of Dimebon in combination with donepezil (Aricept)","Medivation, Inc.","All","50 Years and older   (Adult, Older Adult)","Phase 2","50","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DIM13","April 2008","August 2010","August 2010","June 25, 2008",,"December 10, 2015","Xenoscience, Inc., Phoenix, Arizona, United States|Banner Alzheimer's Institute, Phoenix, Arizona, United States|Barrow Neurological Institute, Phoenix, Arizona, United States|Sun Health Research Institute, Sun City, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT00704782"
580,"NCT00884507","A Study of RO5313534 as Add-on to Donepezil Treatment in Patients With Mild to Moderate Alzheimer's Disease",,"Completed","No Results Available","Alzheimer's Disease","Drug: Placebo|Drug: RO5313534","Change from baseline in Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-Cog) score|CANTAB tests, MMSE total score, ADCS CGIC, Behave-AD-FW, ADCS-ADL, Zarit Burden interview|AEs, lab parameters, suicidal risk, concomitant medications, physical and neurological examinations.","Hoffmann-La Roche","All","50 Years and older   (Adult, Older Adult)","Phase 2","389","Industry","Interventional","Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","WN22018|2008-004012-13","May 2009","November 2010","November 2010","April 20, 2009",,"November 2, 2016","Orange, California, United States|Torrance, California, United States|Norwalk, Connecticut, United States|Delray Beach, Florida, United States|Ft Myers, Florida, United States|Maitland, Florida, United States|Tampa, Florida, United States|Tampa, Florida, United States|Paducah, Kentucky, United States|Kalamazoo, Michigan, United States|Creve Coeur, Missouri, United States|Eatontown, New Jersey, United States|Albuquerque, New Mexico, United States|White Plains, New York, United States|Portland, Oregon, United States|Buenos Aires, Argentina|Buenos Aires, Argentina|Buenos Aires, Argentina|Caba, Argentina|Hornsby, New South Wales, Australia|Chermside, Queensland, Australia|Woodville, South Australia, Australia|Medicine Hat, Alberta, Canada|Vancouver, British Columbia, Canada|Kingston, Ontario, Canada|London, Ontario, Canada|Ottawa, Ontario, Canada|Peterborough, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Verdun, Quebec, Canada|Regina, Saskatchewan, Canada|Montpellier, France|Nice, France|St Herblain, France|Toulouse, France|Günzburg, Germany|Leipzig, Germany|München, Germany|Nürnberg, Germany|Napoli, Campania, Italy|Castellanza, Lombardia, Italy|Milano, Lombardia, Italy|Milano, Lombardia, Italy|Aguascalientes, Mexico|Guadalajara, Mexico|Monterrey, Mexico|Saltillo, Mexico|Gdansk, Poland|Leszno, Poland|Torun, Poland|Warszawa, Poland|Bucharest, Romania|Bucharest, Romania|Bratislava, Slovakia|Michalovce, Slovakia|BArcelon, Barcelona, Spain|Salt, Girona, Spain|Barakaldo, Vizcaya, Spain|Barcelona, Spain|Madrid, Spain|Malaga, Spain|Blackpool, United Kingdom|Bradford, United Kingdom|Glasgow, United Kingdom|Southampton, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00884507"
581,"NCT00855868","Ability Of ([18F]-AV-45) PET Scan to Distinguish Alzheimer's Disease Subjects From Cognitively Normal Individuals",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18|Drug: [11C]-PIB","Differences in Standard Uptake Value Ratio (SUVR) for Frontal Cortex/Cerebellum and Whole Brain/Cerebellum of the Positron Emission Tomography (PET) Scan With [18F]-AV-45 for Probable Alzheimer's Disease (AD) Versus Cognitively Normal Subjects.","Avid Radiopharmaceuticals|American College of Radiology Imaging Network|General Electric","All","55 Years to 90 Years   (Adult, Older Adult)","Phase 2","28","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","ACRIN PA 4003","March 2009","January 2011","January 2011","March 5, 2009","July 26, 2012","July 26, 2012","Research Site, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00855868"
582,"NCT00062569","Bathing Persons With Alzheimer's Disease aT Home (The BATH Study)",,"Completed","No Results Available","Alzheimer Disease","Behavioral: Bathing Support Intervention (BSI)|Behavioral: Caregiver reminiscence with coaching","Care Recipient: Resistiveness to care; discomfort|Caregiver: Self-efficacy; interactive behaviors|Caregiver burden & satisfaction","National Institute of Nursing Research (NINR)","All","60 Years and older   (Adult, Older Adult)","Not Applicable","90","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)","IA0044|R01NR007893-01A1","September 2002","June 2006","June 2006","June 12, 2003",,"March 12, 2009","Boston College, William F. Connell School of Nursing, Chestnut Hill, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT00062569"
583,"NCT00039702","Brain Imaging in Alzheimer's Disease",,"Completed","No Results Available","Alzheimer Disease","Drug: [123] 5-I-A-85380",,"National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult",,"40","NIH","Observational",,"020058|02-M-0058","June 2002",,"September 2004","June 7, 2002",,"March 4, 2008","National Institute of Mental Health (NIMH), Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00039702"
584,"NCT00693004","Study of PRX-03140 Monotherapy in Subjects With Alzheimer's Disease",,"Terminated","No Results Available","Alzheimer's Disease","Drug: PRX-03140|Drug: Donepezil|Drug: Placebo","Alzheimer's Disease Assessment Scale-Cognitive subscale.","Epix Pharmaceuticals, Inc.","All","50 Years to 90 Years   (Adult, Older Adult)","Phase 2","236","Industry","Interventional","Primary Purpose: Treatment","Protocol 03140-203","May 2008","January 2010",,"June 6, 2008",,"July 30, 2009","Barrow Neurological Institute, Phoenix, Arizona, United States|PsyPharma Clinical Research, Inc., Phoenix, Arizona, United States|Northwest NeuroSpecialists, PLLC, Tucson, Arizona, United States|Synergy Clinical Research Center, National City, California, United States|Pacific Neuroscience Medical Group, Oxnard, California, United States|California Neuroscience Research Medical Group, Inc., Sherman Oaks, California, United States|Torrance Clinical Research, Torrance, California, United States|Bradenton Research Center, Bradenton, Florida, United States|Brain Matters Research, Delray Beach, Florida, United States|Clinical Neuroscience Solutions, Inc., Jacksonville, Florida, United States|Compass Research, Orlando, Florida, United States|Berma Research Group, Plantation, Florida, United States|Meridien Research, St. Petersburg, Florida, United States|Stedman Clinical Trials, Tampa, Florida, United States|Roskamp Institute, Tampa, Florida, United States|Four Rivers Clinical Research, Paducah, Kentucky, United States|J. Gary Booker, MD, APMC, Shreveport, Louisiana, United States|Maine Neurology, Scarborough, Maine, United States|The ICPS Group, Norwood, Massachusetts, United States|Alzheimer's Research Corporation, Manchester, New Jersey, United States|Global Medical Institutes, Princeton, New Jersey, United States|Social Psychiatry Research Institute, Brooklyn, New York, United States|The Mount Sinai Medical Center, New York, New York, United States|Behavioral Medical Research of Staten Island, Staten Island, New York, United States|The Neurological Institute, P.A., Charlotte, North Carolina, United States|MedArk, Morgantown, North Carolina, United States|Neurology and Neuroscience Center of Ohio, Toledo, Ohio, United States|Tulsa Clinical Research, LLC, Tulsa, Oklahoma, United States|Rhode Island Mood and Memory Research Institute, East Providence, Rhode Island, United States|Todd Swick, MD, PA, Houston, Texas, United States|The Memory Clinic, Bennington, Vermont, United States|The Glennan Center for Geriatrics & Gerontology, Eastern Virginia Medical School, Norfolk, Virginia, United States|The Center for Excellence in Aging and Geriatric Health, Williamsburg, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00693004"
585,"NCT00739037","Study Evaluating PAZ-417 in Cerebrospinal Fluid in Subjects With Alzheimer's Disease",,"Terminated","No Results Available","Alzheimer Disease","Drug: Placebo|Drug: PAZ-417","This study is the measurement of a biomarker known as amyloid beta peptide 40 (Ab40) in Cerebrospinal Fluid (CSF), following a single oral dose of PAZ-417 in subjects with Alzheimer Disease (AD).|To measure both amyloid beta peptide 42 (Ab42) and PAZ-417 in both plasma and CSF and assess safety using the results of physical examinations, vital sign measurements, ECGs, cardiac telemetry, standard laboratory tests and collection of AES.","Wyeth is now a wholly owned subsidiary of Pfizer","All","55 Years and older   (Adult, Older Adult)","Phase 1","10","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)","3186A1-1103","August 2008","December 2008","December 2008","August 21, 2008",,"August 4, 2009","California Clinical Trials, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT00739037"
586,"NCT00566501","Open-Label Extension Study of 23 mg Donepezil SR in Patients With Moderate to Severe Alzheimer's Disease",,"Completed","Has Results","Alzheimer's Disease","Drug: 23 mg SR in Study 326|Drug: 10 mg IR in Study 326","Long-term Safety as Measured by Incidence of Adverse Events During the 12 Month Treatment Period|Mean Change From Baseline in MMSE Score|Mean Change From Baseline in SIB Score","Eisai Inc.|Eisai Limited","All","45 Years to 91 Years   (Adult, Older Adult)","Phase 3","915","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","E2020-G000-328|2006-004890-93","December 2007","August 2010","August 2010","December 3, 2007","June 19, 2012","July 11, 2014","Apex Research Institute, Santa Ana, California, United States",,"https://ClinicalTrials.gov/show/NCT00566501"
587,"NCT00752232","Study Evaluating ACC-001 in Japanese Patients With Mild To Moderate Alzheimer's Disease",,"Completed","Has Results","Alzheimer Disease","Biological: ACC-001|Other: QS-21|Other: PBS","Incidence of Treatment-emergent Adverse Events (AEs) by Severity|Number of Participants With Brain Abnormalities in Magnetic Resonance Imaging (MRI) Data|Number of Participants With Abnormalities in Neurological Examination|Anti-a-beta IgG Titer at Specified Visits|Anti-a-beta IgM Titer at Specified Visits","Pfizer|JANSSEN Alzheimer Immunotherapy Research & Development, LLC","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 2","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3134K1-2202|B2571006","December 2008","July 2012","July 2012","September 15, 2008","January 1, 2016","January 1, 2016","Suwa Red Cross Hospital, Suwa, Nagano, Japan|Osaka Medical College Hospital, Takatsuki, Osaka, Japan|Meitetsu Hospital, Aichi, Japan|Ibaraki Prefectural Central Hospital, Ibaraki, Japan|Shonan Atsugi Hospital, Kanagawa, Japan|Kitasato University East Hospital, Kanagawa, Japan|Tazuke Kofukai Medical Research Institute Kitano Hospital, Osaka, Japan|Juntendo University Hospital, Tokyo, Japan|Juntendo Tokyo Koto Geriatric Medical Center, Tokyo, Japan|Kanto Ctrl Hp of the Mutual Aid Asso of Public school Teache, Tokyo, Japan",,"https://ClinicalTrials.gov/show/NCT00752232"
588,"NCT00000172","Evaluation of Galantamine in the Treatment of Alzheimer's Disease",,"Completed","No Results Available","Alzheimer Disease","Drug: Galantamine",,"Janssen, LP|National Institute on Aging (NIA)","All","Child, Adult, Older Adult","Phase 3",,"Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","IA0009",,,,"November 1, 1999",,"June 24, 2005","University of Alabama, Birmingham, Birmingham, Alabama, United States|James L. Frey, M.D., Ltd., Scottsdale, Arizona, United States|East Bay Neurology, Berkeley, California, United States|University of Southern California, Los Angeles, California, United States|N. County Neurology Assoc., Oceanside, California, United States|University of California Irvine Medical Center, Orange, California, United States|Pacific Research Network (PRN), San Diego, California, United States|Affiliated Research Institute, San Diego, California, United States|INC, San Diego, California, United States|The Denver Center for Medical Research, Denver, Colorado, United States|Geriatric and Adult Psychiatry, Hamden, Connecticut, United States|Yale University, School of Medicine, New Haven, Connecticut, United States|Ocala Neurodiagnostic Center, Ocala, Florida, United States|Psychiatric Institute of Florida, Orlando, Florida, United States|Neurological Research Institute of Sarasota, PA, Sarasota, Florida, United States|Suncoast Neuroscience Associates, Inc., St. Petersburg, Florida, United States|Premiere Research Institute, West Palm Beach, Florida, United States|Chicago Center for Clinical Research, Chicago, Illinois, United States|OSF Center for Senior Health, Peoria, Illinois, United States|Indiana Alzheimer's University Clinic, Indianapolis, Indiana, United States|The Johns Hopkins Hospital, Baltimore, Maryland, United States|Brigham Behavioral Neurology Group, Boston, Massachusetts, United States|Boston Clinical Research Center, Wellesley Hills, Massachusetts, United States|University of Massachusetts Worcester, Worcester, Massachusetts, United States|Oakwood Hospital and Medical Center, Dearborn, Michigan, United States|Michigan Medical P.C., Grand Rapids, Michigan, United States|Regions Hospital, St. Paul, Minnesota, United States|St. Louis University School of Medicine, St. Louis, Missouri, United States|Washington University, St. Louis, Missouri, United States|University of Nebraska, Omaha, Nebraska, United States|University of Medicine and Dentistry of New Jersey, Piscataway, New Jersey, United States|Neurology Group of Bergen County, Ridgewood, New Jersey, United States|Overlook Hospital, Summit, New Jersey, United States|Medwise Center, West Long Branch, New Jersey, United States|Neurological Associates of Albany, PC, Albany, New York, United States|East End Neuropsychiatric Associates, Centereach, New York, United States|St. John's Episcopal Hospital, Far Rockaway, New York, United States|NYU Medical Center, New York, New York, United States|University of Rochester, Rochester, New York, United States|SUNY Stony Brook, Stony Brook, New York, United States|Ohio State University, Columbus, Ohio, United States|Clinical Pharmaceutical Trials, Tulsa, Oklahoma, United States|Oregon Health Sciences University, Portland, Oregon, United States|Pacific NW Clinical Research Center, Portland, Oregon, United States|Institute for Advanced Clinical Research, Elkins Park, Pennsylvania, United States|Neuroscience Center of Westmoreland Neurology, Greensburg, Pennsylvania, United States|Brown University, Pawtucket, Rhode Island, United States|Alzheimer's Research and Clinical Programs, North Charleston, South Carolina, United States|University of Texas, Dallas, Texas, United States|Southwestern Vermont Medical Center, Bennington, Vermont, United States|Memory Disorder Center of Vermont, Colchester, Vermont, United States|Virginia Neuroscience Center, Alexandria, Virginia, United States|Prince William Neuroscience Center, Manassas, Virginia, United States|Seattle Clinical Research Center, Seattle, Washington, United States|VAPS Health Care System, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00000172"
589,"NCT00104442","Study of the Effects of Current Drug Treatments on Levels of Certain Brain Chemicals in Alzheimer's Disease",,"Completed","No Results Available","Alzheimer's Disease","Drug: Rivastigmine","Changes in specific brain enzyme activity from baseline to week 13|Correlate changes in specific brain enzyme activity at week 13 to cognition and behavior|Changes in levels of protein biomarkers in Alzheimer's disease and neurodegeneration from baseline to week 13|Correlate changes in specific brain enzyme activity after 13 weeks treatment to changes in global functioning at 13 and 26 weeks","Novartis","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 4","80","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CENA713BUS25","October 2003",,"April 2006","March 1, 2005",,"December 21, 2007","Novartis Pharmaceuticals, East Hanover, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT00104442"
