cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
drowned,drowning or exhaustion related death,2011,1,"Linosa, found a dead body among the rocks. Probably one of the more than two hundred missing the wreck of 6 April (Apr 30, 2011)"
shot,malicious intent related death / manslaughter,2011,1,"Tunisian hit and killed on the Bari bypass while walking to the reception center (Apr 19, 2011)"
police violence,authorities related death,2011,1,A guard at the detention center beat up the victim while arresting him after an escape attempt.  The victim spent an hour on the floor handcuffed before dying shortly afterwards from cardiac arrest.
unknown,unknown - supposedly exhaustion related death,2011,1,"manner of death unknown, died in Malta det. ctr. a day after he was captured from escaping (Apr 16, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, found 3 days after shipwreck off Pantelleria (I) on the way from Libya (Apr 15, 2011). From Del Grande's data set (translated): Pantelleria, found a dead body in the sea. This is the third victim of the sinking of 6 April (Apr 19, 2011)"
drowned,drowning or exhaustion related death,2011,495,"Are still missing at sea, twenty days after their departure from Libya, two boats of the Eritrean direct to Lampedusa. First there were 335 passengers and 160 on the second. Both had asked for help by calling the Eritrean community in Rome. But they never arrived at their destination. Neither in Italy nor in Malta, nor have returned to Libya (Apr 13, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, body found after boat wrecked off Pantelleria (I) on the way from Libya (Apr 12, 2011). From Del Grande's data set (translated): Boat is going to crash against the rocks of Pantelleria instead of following the coast guard patrol boat to the entrance of the harbor of the island. Despite the rescue operations, they die two women. A third man is lost at sea (Apr 13, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,100,"unknown, bodies thrown overboard from LY boat rescued 104 miles from Lampedusa (I) (Apr 7, 2011). From Del Grande's data set (translated): Passengers on an old fishing boat rescue adrift off the coast of Lampedusa tell: dozens of deaths during the voyage. According to estimates most 'cautious, missing at sea would be at least thirty (Aug 8, 2011)"
drowned,drowning or exhaustion related death,2011,2,"drowned, boat capsized in a storm off Lampedusa (I), 28 people were rescued (Apr 2, 2011)"
drowned,drowning or exhaustion related death,2011,250,"Shipwreck off the coast of Libya in a boat heading to Lampedusa. Found along the shores of Tripoli, the lifeless bodies of 68 people drowned. Unspecified number of missing at sea. According to the agency Habeshia could be over 250, but the information is not confirmed (Apr 3, 2011)"
drowned,drowning or exhaustion related death,2011,2,"drowned, fell into sea during boat rescue of 22 migrants from Tunisia 50km from Marsala (I) (Apr 2, 2011). From Del Grande's data set (translated): The vessel Alcapa rescues a boat in distress off the coast of Marsala, during transhipment operations 2 passengers falling overboard and end up missing (Mar 5, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Found a second dead body near Marina di Modica (Rg), in Sicily, in the cliffs of Punta Regilione, drowned after the landing of the previous days (Apr 2, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Landing at Marina di Modica (Rg), in Sicily, a drowned (Apr 1, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"no medical help, died giving birth in Rennes (F), homeless since husband put in det. ctr. in NL (Mar 31, 2011)"
drowned,drowning or exhaustion related death,2011,70,"drowned, found off Tripoli coast (LY), may include those from 2 missing boats on way to I (Mar 30, 2011)"
drowned,drowning or exhaustion related death,2011,46,"You lost at sea a boat game from Zarzis to Lampedusa with 46 passengers on board. At least 7 of them are from the district of Jebal Ahmer, in Tunis (Mar 29, 2011)"
drowned,drowning or exhaustion related death,2011,74,"You lost at sea a boat game from Sfax to Lampedusa with 74 passengers on board. The victims were originating in the governorate of Kef and the districts of Hay and Nur Mallasin in Tunis, no victim of Jebal Ahmer (Mar 29, 2011)"
drowned,drowning or exhaustion related death,2011,27,"drowned, found off Kerkennah coast (TN) after 2 boats travelling together from LY sank  (Mar 27, 2011). From Del Grande's data set (translated): The bodies of 27 Tunisians, aged between 19 and 23 years, died in 2 wrecks of boats headed for Italy, on 13 and 27 March, were discovered in the last hours on the coast of the island of Kerkennah (Apr 1, 2011)"
drowned,drowning or exhaustion related death,2011,11,"drowned, boat sank on way to Lampedusa (I) from LY, 6 rescued by Egyptian fishing boats (Mar 27, 2011)"
drowned,drowning or exhaustion related death,2011,308,"feared drowned, boat of 335 left Libya for Italy has been missing for 2 weeks (Mar 26, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"pulmonary embolism on flight to emergency surgery in Strasbourg(F), consulate delayed visa (Mar 25, 2011)"
drowned,drowning or exhaustion related death,2011,305,"feared drowned after 2 boats travelling together from Sidi Bilal (LY) sank on way to Italy (Mar 24, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, found off Crete s island jumped off LY-GR ship in Souda (GR) during repatriation (Mar 21, 2011)"
drowned,drowning or exhaustion related death,2011,3,"missing, sent distress signal near Paxoi island (GR) way to I, jumped into sea during rescue (Mar 21, 2011). From Del Grande's data set (translated): Three lost at sea during the rescue operation off the Greek island of Paxos in the Ionian Sea, a boat directly in Puglia (Mar 22, 2011)"
drowned,drowning or exhaustion related death,2011,3,"drowned, patrols found bodies in Petalo area of river Evros (GR) (Mar 17, 2011)"
drowned,drowning or exhaustion related death,2011,3,"A corpse in an advanced state of decomposition was found on the rocks of Pantelleria. Two other victims of the crossings of the Strait of Sicily were fished out in the last hour off Lampedusa (Mar 17, 2011)"
drowned,drowning or exhaustion related death,2011,40,"drowned; 17 found, 23 missing, boat sank near Kerkenneh (TN) on way to Lampedusa (I) (Mar 13, 2011). From Del Grande's data set (translated): The family of 40 children of Tunis denouncing the sinking of a boat off the island of Kerkennah game from Sfax with 45 passengers on board. Saved in 5. Of the 40 victims, only 4 bodies are recovered (Mar 13, 2011)"
drowned,drowning or exhaustion related death,2011,48,"Sailed from Sidi Mansour (Sfax) on the route to Lampedusa, the old fishing vessel ""Zuhair"" is lost at sea with all its 48 passengers. It is a different vessel from that wrecked yesterday in Kerkennah (Mar 14, 2011)"
suicide - hanged,suicide,2011,1,"presumed suicide, found hanged in Cagliari reception centre (I), unclear circumstances    (Mar 11, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,1,"found dead in police cell, was detained for having no papers in Zurich airport (CH) (Mar 5, 2011)"
drowned,drowning or exhaustion related death,2011,19,"During the landing of the ferry greek Ionian King at the port of Souda, Crete load of 1,200 foreigners were evacuated from Benghazi, fleeing Libya in revolt, a group of 46 Bangladeshis fear of being expelled from Greece throws herself into the sea to escape groped . 3 of them drowned, while 16 others are reported missing (Mar 5, 2011)"
drowned,drowning or exhaustion related death,2011,1,"A vessel is at sea the lifeless body of a drowning man, to Cap Carbon, Arzew (Mar 4, 2011)"
suicide,suicide,2011,1,Detainee who was sentenced to be deported strangles himself  in his cell
drowned,drowning or exhaustion related death,2011,1,"drowned while trying to cross Benzu breakwater (MA) to Ceuta (E) body found hours after (Feb 26, 2011). From Del Grande's data set (translated): Ceuta, found the body of a boy drowned trying to swim around the border post Benz (Feb 28, 2011)"
drowned,drowning or exhaustion related death,2011,15,"The family of 9 children in the province of Arzew recognize the bodies of their loved ones, fished in Jijel after the sinking of their ship direct to Spain, 6 other passengers are still missing (Feb 26, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Found the lifeless body of a young boy drowned trying to swim to Ceuta, one of the two Spanish enclaves in Morocco (Feb 25, 2011)"
drowned,drowning or exhaustion related death,2011,6,"Found in Bouharoun, Tipaza, the lifeless bodies of 6 boys drowned during the crossing to Spain (Feb 15, 2011)"
suicide - hanged,suicide,2011,2,"suicide, hanged himself in a shower at Campsfield House Immigration Removal Centre (GB) (Feb 7, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"died from heart attack after medical neglect at Colnbrook Immigration Removal Centre (GB)  (Feb 6, 2011)"
drowned,drowning or exhaustion related death,2011,270,"drowned, 2 found, overcrowded boat capsized 300km from Tripoli (LY) to Lampedusa (I) (Feb 5, 2011). From Del Grande's data set (translated): A fishing boat with 700 passengers on board capsized during rescue operations off the island of Kerkennah. Two dead and 270 missing (Jun 2, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned when disembarking boat of 500 migrants in Modica(I), body found by Punta Reglioni (Feb 3, 2011). From Del Grande's data set (translated): Man found dead in a truck tarpaulin, between different boxes, on board a ship just arrived from Greece in the port of Ancona (Apr 2, 2011)"
asphyxiated,drowning or exhaustion related death,2011,1,"stowaway, asphyxiation, body found in van at Ancona port (I) on ferry coming from GR (Feb 3, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, decomposed body found floating opposite La Carihuela beach, Torremolinos (E) (Feb 2, 2011). From Del Grande's data set (translated): Found on the beaches of Torremolinos lifeless body of a young boy drowned in the crossing of the Mediterranean (Mar 11, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,2,"missing after they tried to cross the river Evros between GR and TR, part of a group of 15 (Dec 31, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia trying to cross the river Evros between GR and TR, part of group of 15 (Dec 31, 2011)"
illness,drowning or exhaustion related death,2011,1,"died at hospital, Essen (D), deportation threats, interdiction to work contributed to sickness (Dec 31, 2011)"
starved,drowning or exhaustion related death,2011,3,"According Adescam, 3 Congolese women, one of them pregnant, died of starvation after being expelled from Morocco and abandoned in a deserted area on the border with Algeria (Dec 30, 2011)"
frozen,drowning or exhaustion related death,2011,3,"died of hypothermia, body found by the police along the shores of the Evros River (GR) (Dec 26, 2011)"
drowned,drowning or exhaustion related death,2011,1,"One drowned in Ceuta, while trying to swim to the Spanish enclave in Morocco bypassing the border (Dec 24, 2011)"
suicide - other,suicide,2011,1,"presumed suicide in police cell in NL days before deportation, very unclear circumstances (Dec 21, 2011)"
asphyxiated,drowning or exhaustion related death,2011,1,"Found on the roadside in Imola, the lifeless body of a young man died asphyxiated in the truck in which he was hiding in Greece to embark on a ferry to Italy. To abandon the corpse would have been a truck driver (Dec 20, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"died of meningitis hours after her admission to hospital from Aluche detention centre (E) (Dec 18, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,2,"Rescued 75 miles south of Malta a boat adrift with 44 passengers, who tell two died during the crossing (Dec 7, 2011)"
starved,drowning or exhaustion related death,2011,1,"pregnant, died from drinking sea water, boat of 72 went adrift in Mediterranean for 16 days (Dec 3, 2011). From Del Grande's data set (translated): Rescued vessel in distress off the coast of Malta. A board was found the lifeless body of a girl of 29 years (Apr 12, 2011)"
drowned,drowning or exhaustion related death,2011,2,"drowned, boat sank off Zarzis (TN) on way to Italy, 1 body found, 1 missing, 10 survivors (Dec 1, 2011). From Del Grande's data set (translated): Spills at sea off the coast of Zarzis boat with 12 passengers was shuttled from the mother ship ready to go to Lampedusa. A boy drowned and another is lost at sea (Feb 12, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,4,"bodies found by patrol guards on a boat adrift near Sfax (TN) on way to Italy (Dec 1, 2011). From Del Grande's data set (translated): The bodies of four men were found on a finished boat adrift off the coast of Sfax on the route to Lampedusa (Feb 13, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, found in port of Ceuta (E) in advanced state of decomposition (Nov 27, 2011). From Del Grande's data set (translated): Found at the entrance of the port of Ceuta the lifeless body of a young boy drowned trying to swim to the Spanish enclave in Morocco (Nov 29, 2011)"
drowned,drowning or exhaustion related death,2011,3,"bodies found in the south-eastern port of Brindisi (I) after a vessel sank off the nearby coast (Nov 26, 2011). From Del Grande's data set (translated): Salt the death toll of the sinking of Brindisi, after the discovery of a third body in the sea without life (Nov 27, 2011)"
drowned,drowning or exhaustion related death,2011,53,"drowned, bodies found afer boat sank off Brindisi coasts (I) on the way from Turkey (Nov 25, 2011). From Del Grande's data set (translated): A sailing boat is shipwrecked off the coast brindisine after being stranded on the rocks. 2 bodies recovered, the missing and thirty, 39 survivors (Nov 26, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia, body found in a farming area in Thymaria, Alexandroupoli (GR) (Nov 23, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia, body found in the Peplos region, on banks of Evros River (GR) (Nov 23, 2011)"
drowned,drowning or exhaustion related death,2011,3,"drowned, bodies found on Moroccan beach, part of group of 90 who tried to swim to Ceuta (Nov 22, 2011)"
car accident,"violent accidental death (transport, blown in minefield...)",2011,2,"died in accident, smugglers  car overturned as they tried to avoid a police road block (Nov 9, 2011)"
suicide - hanged,suicide,2011,1,"suicide, hanged himself in Parc de la Villette, Paris(F) when told he would be deported (Nov 4, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,1,"body found in a drifting wooden boat off Malta s shore rescued patrol vessels (Nov 3, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Melilla found the lifeless body of a young man drowned trying to swim around the border (Nov 2, 2011)"
drowned,drowning or exhaustion related death,2011,35,"drowned; 5 found, 30 missing when TN coastguards rammed their boat, splitting it in two (Nov 1, 2011). From Del Grande's data set (translated): Collision at sea off the coast of Zarzis and on the route to Lampedusa, including a vessel with 120 passengers on board the corvette ""Liberte 302"" Navy Tunisia. 5 dead and 30 missing at sea. The survivors have accused marina deliberately rammed them (Feb 11, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Found the lifeless body of a drowning man who died during the crossing of the Strait, off the coast of Motril, Granada (Oct 31, 2011)"
drowned,drowning or exhaustion related death,2011,3,"Found the lifeless bodies of 3 boys drowned trying to swim around the border post Tarajal. The Moroccan authorities do not exclude others lost at sea (Oct 24, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Disembark in Locri, Calabria, a vessel with 53 young Egyptians on board. Drowned a 16 year old boy (Oct 23, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Drown a twenty year old, fell into the sea while attempting to climb on the rocks along with the other 41 passengers landed at Seminara, in the province of Reggio Calabria (Oct 18, 2011)"
drowned,drowning or exhaustion related death,2011,5,"3 found dead off the coast of Calblanque and 2 off Calarreona and Punta Negrete, in the area of __Murcia, they are the 5 missing in a boat rescued a few days before (Oct 13, 2011)"
drowned,drowning or exhaustion related death,2011,2,"bodies found in the area of Petalo (GR), tried to cross the border TR-GR via the Evros River (Oct 11, 2011). From Del Grande's data set (translated): Sixteen falls into the water and drowned during a chase between a Greek patrol boat and the boat was traveling with other passengers along the Evros River at the border between Turkey and Greece (Dec 9, 2011)"
drowned,drowning or exhaustion related death,2011,2,"Found the bodies of two boys drowned trying to swim across the Evros River at the border between Turkey and Greece (Oct 12, 2011)"
car accident,"violent accidental death (transport, blown in minefield...)",2011,1,"stowaway, fell out of a truck near Calais (F) was travelling to GB (Oct 4, 2011)"
starved,drowning or exhaustion related death,2011,1,"died in prison near Misrata (LY) after boat left to drift for 16 days, SOS ignored by NATO (Oct 3, 2011)"
starved,drowning or exhaustion related death,2011,1,"died from thirst and hunger on reaching land, boat drifted for 16 days, SOS ignored by NATO (Oct 3, 2011)"
starved,drowning or exhaustion related death,2011,61,"died from thirst and hunger, boat drifted in Mediterranean for 16 days, SOS ignored by NATO (Oct 3, 2011)"
fall,"violent accidental death (transport, blown in minefield...)",2011,1,"failed asylum seeker, died after jumping from window during police check in Nicosia flat (CY) (Jan 30, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Emerges from the sea lifeless body of a man drowned during a shipwreck in the sea area between Morocco and Spain. The discovery was made in Estepona (Jan 26, 2011)"
starved,drowning or exhaustion related death,2011,1,"stopped breathing, very weak after 4 days wait at Strait of Gibraltar coast for MA-E dinghy  (Jan 22, 2011). From Del Grande's data set (translated): Boy dies of starvation, after four days spent in a forest on the Mediterranean coast of Morocco unnecessarily waiting for a boat that was ferrying across the sea, to Spain (Jan 24, 2011)"
drowned,drowning or exhaustion related death,2011,1,"Found in Estepona, Malaga, the lifeless body of a young boy drowned in a crossing (Jan 22, 2011)"
drowned,drowning or exhaustion related death,2011,1,"drowned, boat capsized near Metline (TN) during poor border control after Ben Ali abdication (Jan 17, 2011). From Del Grande's data set (translated): Intercepted by the Coast Guard off the coast of Algeria in Annaba on the route to Sardinia, passengers set fire to protest boat before plunging into the sea and get relief. But in the transaction disappear beneath the waves two boys lost at sea (Jan 18, 2011)"
drowned,drowning or exhaustion related death,2011,2,"drowned, set boat on fire and jumped to avoid border patrol in Annaba (DZ) on the way to I (Jan 16, 2011). From Del Grande's data set (translated): Shipwreck Metline in northern Tunisia, on the route to Pantelleria. Drowned Boy (Jan 18, 2011)"
drowned,drowning or exhaustion related death,2011,33,"missing, feared drowned when ship sank near Corfu (GR) on way to Italy, 230 survivors (Jan 15, 2011). From Del Grande's data set (translated): He died in the shooting of a Border Patrol Eritrean girl of twenty years with a group of fellow was trying to cross the border with Israel in Sinai (Jan 17, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,11,"missing after they sailed from Sidi Lakhdar (DZ) in the direction of Spain on a makeshift boat (Jan 11, 2011). From Del Grande's data set (translated): Departing from Sidi Lakhdar, Mostaganem, Arzew are 11 boys from days lost at sea en route to Spain (Dec 5, 2011)"
car accident,"violent accidental death (transport, blown in minefield...)",2011,1,"killed after a car chase in Evros (GR), involving Greek border police and FRONTEX officials (Jan 11, 2011)"
lack of medical care,drowning or exhaustion related death,2011,1,"found dead in his room at the Gerstungen asylum seekers centre (D) 10 days after he died  (Jan 9, 2011)"
murdered,malicious intent related death / manslaughter,2011,1,"murdered due to his religious after deportation from Sweden, his asylum claim was rejected (Jan 9, 2011)"
asphyxiated,drowning or exhaustion related death,2011,25,"suffocated, travelling on boat with 275 survivors, SOS sent 35 miles from Lampedusa (I) (Jan 7, 2011). From Del Grande's data set (translated): Found on board a fishing vessel the lifeless bodies of 25 children died from asphyxiation in the engine room of the boat. Another passenger would have instead been thrown into the sea after a scuffle during the crossing (Aug 1, 2011)"
frozen,drowning or exhaustion related death,2011,1,"died of hypothermia trying to swim ashore with life jacket, body found off Ceuta s coast (E)  (Jan 6, 2011)"
unknown,unknown - supposedly exhaustion related death,2011,1,"unknown manner of death, died on the way from Libya to Malta body thrown overboard (Jan 5, 2011). From Del Grande's data set (translated): The passengers of a vessel rescued by the Maltese speak of a man who died of starvation during the journey and abandoned at sea (Jun 1, 2011)"
drowned,drowning or exhaustion related death,2011,27,"drowned, reportedly from missing boat to Italy on 27/03. bodies found off Kerkenneh(TN) (Jan 3, 2011). From Del Grande's data set (translated): The bodies of 27 Tunisians, aged between 19 and 23 years, died in 2 wrecks of boats headed for Italy, on 13 and 27 March, were discovered in the last hours on the coast of the island of Kerkennah (Apr 1, 2011)"
drowned,drowning or exhaustion related death,2011,58,"drowned, bodies found on Tunisian beaches by coastguards  (Jan 3, 2011)"
burned,"violent accidental death (transport, blown in minefield...)",2011,3,"burned to death in a shack in Melilla (E) as they waited for a chance to cross to mainland (Jan 2, 2011)"
drowned,drowning or exhaustion related death,2011,2,"drowned, bodies found in advanced state of decomposition near Lampedusa (I) (Jan 2, 2011)"
suicide - under train,suicide,2011,1,"suicide, laid under train in Gifhorn(D)in fear of deportation, lived 16yrs in D where he had son (Jan 2, 2011)"
shot by the police,authorities related death,2011,1,"A dead man killed in the shooting of the Egyptian police at the border with Israel on Sinai (Jan 2, 2011)"
drowned,drowning or exhaustion related death,2011,1,died crossing the Oder/Neisse border. German police did not record the precise date.
drowned,drowning or exhaustion related death,2010,2,"drowned, suspected that boat capsized 6 days earlier, travelling from Turkey to Greece (Sep 30, 2010)"
fall,"violent accidental death (transport, blown in minefield...)",2010,1,"stowaway, travelling from Georgia, hurriedly jumped off truck near Foggia (I) and fell on head (Sep 20, 2010). From Del Grande's data set (translated): Three people are thrown from a truck Ukrainian 5 km from Foggia on the A14. One of these, a 22 year-old Eritrean, slams his head against the guardrail and dies instantly (Sep 21, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"heart attack, diabetic asylum seeker in Nicosia (CY), had a poor diet when welfare was cut (Sep 12, 2010)"
shot by the police,authorities related death,2010,1,"Yahya Ishaq Suleiman, 25, Sudanese, who was killed in the fire of the Egyptian police at the border with Israel in Sinai. So far this year, are already 32 migrants killed in this area (Sep 11, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"brain haemorrhage, fell 20ft while working without papers, left at Ceuta hospital gate (E)  (Sep 10, 2010)"
shot by the police,authorities related death,2010,3,"He died in the shooting of the Egyptian police on the border with Israel in Sinai, an immigrant African (Sep 4, 2010)"
drowned,drowning or exhaustion related death,2010,3,"Recovered after eight days adrift vessel sailed from Al Hoceima and live in Andalucia. Found 34 of the 37 passengers on board. The three dead were abandoned at sea (Sep 4, 2010)"
unknown,unknown - supposedly exhaustion related death,2010,2,"bodies found by civil guard on Ceuta beach (E), in an advanced state of decomposition (Aug 30, 2010)"
drowned,drowning or exhaustion related death,2010,2,"Sinking 50 miles off the coast of Sardinia. 1 body recovered, 1 missing at sea (Aug 29, 2010)"
drowned,drowning or exhaustion related death,2010,2,"found off Ceuta s coast (E), believed to have fallen from boats several months ago (Aug 27, 2010)"
drowned,drowning or exhaustion related death,2010,37,"reportedly missing, boat from MA to E allegedly carrying 37 has gone missing  (Aug 26, 2010)"
drowned,drowning or exhaustion related death,2010,1,"body found by police on Jonic coast, Calabria (I), reportedly died whilst disembarking sailboat (Aug 24, 2010). From Del Grande's data set (translated): Landing in Calabria, Catanzaro. A group of passengers is forced by the captain to jump overboard, one man drowned, the body is recovered after a few hours (Aug 25, 2010)"
asphyxiated,drowning or exhaustion related death,2010,1,"He died suffocated inside the truck in which he was hiding in the greek port of Patras to board a ferry line to Venice, bound for England. The corpse of Baiz Ebraim Pshadar is then abandoned by the driver and found by police on the A23 Udine-Tarvisio (Aug 16, 2010)"
starved,drowning or exhaustion related death,2010,6,"died of thirst in Algerian desert near Tamanrasset, with 9 others trying to reach Europe (Aug 14, 2010). From Del Grande's data set (translated): 12 dead dehydrated in the Algerian desert to the border with Mali, stranded in the Sahara after a mechanical failure of the truck they were traveling (Aug 16, 2010)"
shot by the police,authorities related death,2010,10,"Meeting the budget of the massacre of Eritreans in Sinai. According to police, in gunfire with the drivers have been killed at least 10 people dead and others may be dehydrated after fleeing into the wilderness (Aug 15, 2010)"
shot by the police,authorities related death,2010,6,"Shooting on the border between Egypt and Israel at Sinai. 6 Eritreans were killed, two under-fire police, 4 shots under their carers (Aug 14, 2010)"
drowned,drowning or exhaustion related death,2010,43,"missing, feared drowned on the way from El Bouni, Annaba (DZ) to Sardinia (I) by boat (Aug 8, 2010). From Del Grande's data set (translated): The family of 43 children of Annaba make complaints to the authorities about the disappearance of their children, started with the rough sea to Sardinia and disappeared into the sea. The boys would have boarded two boats by 19:24 seats, sailed from Oued-Bokrat (Seraidi) and Sidi-Salem (El Bouni) (Sep 8, 2010)"
drowned,drowning or exhaustion related death,2010,4,"drowned whilst travelling from Turkey to Greece on Evros River (GR) (Aug 5, 2010). From Del Grande's data set (translated): Found the lifeless body of a man drowned in the Evros River at the border between Turkey and Greece (Jun 9, 2010)"
drowned,drowning or exhaustion related death,2010,1,"Landing in Calabria, found the lifeless body of a young Afghan on a beach of Catanzaro (Aug 4, 2010)"
starved,drowning or exhaustion related death,2010,1,"starvation, died 2days before mother, family got no social help after received asylum in GB (Aug 2, 2010)"
shot by the police,authorities related death,2010,2,"Two deaths in one week along the border between Egypt and Israel in the Sinai, both killed by Egyptian border police gunfire. There are already 21 people killed on the Sinai since the beginning of 2010 (Jul 29, 2010)"
drowned,drowning or exhaustion related death,2010,2,"drowned during shipwreck off Ibiza Channel, bodies found off Javea coast (E) (Jul 27, 2010)"
suicide - jumped from building,suicide,2010,1,"suicide, jumped from balcony in Nottingham (GB), couldn t find solicitor for his asylum appeal (Jul 24, 2010)"
drowned,drowning or exhaustion related death,2010,1,"Landing in Calabria, Belcastro, 1 drowned (Jul 21, 2010)"
drowned,drowning or exhaustion related death,2010,2,"drowned, bodies found in the Evros region (GR) near to border with Turkey (Jul 11, 2010)"
drowned,drowning or exhaustion related death,2010,1,"stowaway, drowned whilst swimming from ship to shore at Pinedo beach, Valencia (E) (Jul 9, 2010)"
drowned,drowning or exhaustion related death,2010,1,"drowned during shipwreck off Ibiza Channel, body found on San Juan beach (E) (Jul 7, 2010)"
drowned,drowning or exhaustion related death,2010,1,"drowned during shipwreck off Ibiza Channel, body found 2 miles from Altea, Alicante (E) (Jul 7, 2010)"
drowned,drowning or exhaustion related death,2010,2,"Found two more bodies in the Evros River at the border with Turkey. Rises to 18 The death toll of the tragedy of July 1 (Jul 7, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"Sahro Barre Mohamed, 32 who had three-month pregnancy died in center for the asylum seekers in Leersum town of Utrecht province after she lacked urgent medical care."
murdered,malicious intent related death / manslaughter,2010,1,"stabbed in canteen-queue fight in Sandholm Asylum Centre(DK) tension due to overcrowding (Jul 3, 2010)"
suicide - hanged,suicide,2010,1,"suicide, asylum seeker, hanged himself in Hamburg deportation centre (D) after hunger strike (Jul 2, 2010)"
suicide - jumped from building,suicide,2010,2,"suicide, jumped with his family from 15 floor flat in Glasgow (GB), asylum claim was rejected (Jul 2, 2010)"
suicide - jumped from building,suicide,2010,1,"suicide, jumped with her family from 15 floor flat in Glasgow (GB), asylum claim was rejected (Jul 2, 2010)"
drowned,drowning or exhaustion related death,2010,18,"Massacre in the Evros River at the border between Turkey and Greece. Found 16 dead bodies, including five women, drowned trying to swim across the river (Jul 1, 2010)"
shot by the police,authorities related death,2010,1,"A 38 year-old Eritrean woman killed by three bullets fired by Egyptian police at the border with Israel in Sinai. It is the nineteenth victim of 2010 (Jun 29, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"pregnant asylum seeker in a Leersum asylum centre (NL)who was denied urgent medical care (Jun 26, 2010)"
drowned,drowning or exhaustion related death,2010,2,"drowned, boat overturned crossing Evros river from TR-GR, bodies found in Orestiada (GR) (Jun 24, 2010)"
murdered,malicious intent related death / manslaughter,2010,1,"killed by another asylum seeker in Alvesta (S) apartment rented by Migration Board (Jun 24, 2010)"
executed,malicious intent related death / manslaughter,2010,20,"whilst travelling to Europe, executed in Tripoli and Banghazi (LY) for alleged criminal offences (May 29, 2010)"
drowned,drowning or exhaustion related death,2010,2,"Found the bodies of two men drowned in the Evros River at the border between Turkey and Greece (May 26, 2010)"
suicide - hanged,suicide,2010,1,"suicide, hanged himself with bedsheet whilst awating deportation in Barcelona det centre(E) (May 12, 2010)"
run over by a truck,"violent accidental death (transport, blown in minefield...)",2010,1,"A 16 year old Afghan boy hit by truck dies beneath which he had hidden in Dunkirk to embark secretly on a ferry to England (Apr 21, 2010)"
shot by the police,authorities related death,2010,1,"A man killed by gunfire in the Egyptian border police on the border with Israel in Sinai. Already 14 victims beginning of the year (Apr 20, 2010)"
fall,"violent accidental death (transport, blown in minefield...)",2010,1,Stowaway fell from the wheelbay on a plane to Zürich.
drowned,drowning or exhaustion related death,2010,1,"drowned whilst swimming to city, body washed up on Chorrillo beach, Ceuta (E) (Apr 17, 2010)"
drowned,drowning or exhaustion related death,2010,4,"drowned, bodies found by Evros river near Edirne (TR) when boat capsized, 7 survivors (Apr 17, 2010)"
suicide - hanged,suicide,2010,1,"suicide, hanged herself in deportation centre in Hamburg (D) (Apr 15, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"died after being denied medical attention by staff at Oakington detention centre (GB) (Apr 14, 2010)"
drowned,drowning or exhaustion related death,2010,11,"reportedly drowned, boat sank of Almeria coast (E) on way from Algeria.  3 survivors (Apr 12, 2010). From Del Grande's data set (translated): The merchant Liliana rescued 18 miles off the coast of Carboneras the three survivors of a sunken boat on the route between Algeria and Spain. Lost at sea the other 11 passengers (Apr 13, 2010)"
drowned,drowning or exhaustion related death,2010,2,"Boat capsizes at sea during the landing in Lampedusa. Two missing. One of the corpses will be found a month later (Apr 3, 2010)"
drowned,drowning or exhaustion related death,2010,19,"drowned, boat capsized when travelling from Turkey to Greece (Mar 31, 2010). From Del Grande's data set (translated): Shipwreck in Alexandroupoli. Recovered four dead bodies, two neighbors at the port and two in the Rhodope. We are looking for other missing (Jan 4, 2010)"
