cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
suicide - hanged,suicide,2010,1,"suicide, hanged himself with kettle cord whilst facing deporting in Langenhagen prison (D)  (Feb 5, 2010)"
suicide - hanged,suicide,2010,1,"suicide, asylum seeker hanged himself in Liverpool (GB) as he was homesick and left in limbo (Feb 4, 2010)"
shot by the police,authorities related death,2010,2,"Egyptian police opened fire on a group of migrants at the border with Israel, 2 dead (Feb 4, 2010)"
murdered,malicious intent related death / manslaughter,2010,1,"stabbed by breadknife by drunk asylum seeker, whilst in asylum centre in Mostviertel (A) (Feb 3, 2010)"
car accident,"violent accidental death (transport, blown in minefield...)",2010,1,"stowaway, crushed by the cargo of the truck he was hiding in, on way from Ceuta to Spain (Dec 27, 2010)"
frozen,drowning or exhaustion related death,2010,1,"frozen to death, found in Nea Vissa (GR), crossing TR-GR border (Dec 19, 2010)"
frozen,drowning or exhaustion related death,2010,2,"froze to death, bodies found in Nea Vissa (GR), near Turkish border (Dec 16, 2010). From Del Grande's data set (translated): Found the bodies of two men frozen to death while attempting to walk across the border between Turkey and Greece, near Nea Vissa, Orestiada (Dec 17, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"asthma attack at Masotti Carabinieri station, Brescia (I) medical treatment provided too late (Dec 11, 2010)"
shot,malicious intent related death / manslaughter,2010,2,"Killed by their smugglers two other men in the group of 250 Eritreans seized more than a month in the Sinai desert by the same Bedouin who had been entrusted to cross the border with Israel. The execution could be a retaliation for failure to pay the ransom of $ 8,000 that the robbers asking for free hostages (Dec 11, 2010)"
asphyxiated,drowning or exhaustion related death,2010,1,"suffocated, security guards restrained him during deportation, on flight from Heathrow (GB) (Dec 9, 2010). From Del Grande's data set (translated): He died an Angolan citizen, 46 years old, while trying to deport him by force on the BA flight from Heathrow to Luanda Flight 77. If an investigation was initiated on (Oct 16, 2010)"
crushed,"violent accidental death (transport, blown in minefield...)",2010,1,"Sardar Ayari, Afghanistan, 25 years and father of three, died crushed between two trucks while trying to hide in a truck near the port of Patras to embark secretly to Italy (Dec 2, 2010)"
shot,malicious intent related death / manslaughter,2010,6,"A group of 250 Eritreans, 80 of which are rejected by Italy in Libya last year, ends sequestered into the hands of smugglers who have entrusted themselves to cross the border between Egypt and Israel in the Sinai. The redemption price is set at $ 8,000. An escape attempt fails and is repressed with unprecedented violence, resulting in the killing of six Eritreans (Nov 30, 2010)"
police violence,authorities related death,2010,1,"died from shock, taser was used on deportee by police in Colombes (FR) to calm fight (Nov 28, 2010)"
car accident,"violent accidental death (transport, blown in minefield...)",2010,1,"stowaway, crushed between 2 trucks whilst trying to climb into one in Patras (GR) going to I (Nov 26, 2010)"
asphyxiated,drowning or exhaustion related death,2010,4,"stowaways, suffocated in back of van near Amphiloxia (GR), travelling from Italy (Nov 22, 2010). From Del Grande's data set (translated): Asphyxiated 4 Iraqis hidden in a truck stopped at Amphiloxia and direct in Italy (Nov 23, 2010)"
burned,"violent accidental death (transport, blown in minefield...)",2010,2,"died of burns and fume inhalation, fire they made to heat up Santurtzi squat (E) spread (Nov 21, 2010)"
shot by the police,authorities related death,2010,21,"Twenty-one Eritrean killed by the gunfire of the Egyptian border police on the border with Israel in Sinai (Nov 13, 2010)"
car accident,"violent accidental death (transport, blown in minefield...)",2010,1,"stowaway, fell under wheels of truck when it boarded a boat in Dunkirk (F), travelling to GB (Nov 3, 2010)"
murdered,malicious intent related death / manslaughter,2010,1,"The court of Algiers, a conviction for the murder of Indian sailor Kalkouli Amine, aged 18, who was killed while trying to climb to sneak up on a merchant ship at anchor in the port of Algiers, August 24, 2008, and directed in Europe (Nov 3, 2010)"
shot by the police,authorities related death,2010,1,"Sudanese police gunfire killed by Egyptian border in the Sinai Desert, at the border with Israel (Oct 31, 2010)"
murdered,malicious intent related death / manslaughter,2010,1,"stabbed by housemate in Venice (I), jealous of his permanent residency and work permit  (Oct 3, 2010)"
lack of medical care,drowning or exhaustion related death,2010,1,"rare brain infection, no medical care and no social benefits after asylum application approved (Oct 2, 2010)"
suicide - other,suicide,2010,1,"suicide, exhaled camping gas spray in his cell in S.Vittore prison, Milan (I) (Jan 15, 2010)"
asphyxiated,drowning or exhaustion related death,2010,1,"stowaway, suffocated whilst hiding in truck on a ferry from Patras (GR) to Ancona (I) (Jan 11, 2010). From Del Grande's data set (translated): Found the body without life of a young man died asphyxiated in the truck where he was hiding to reach Italy, in the hold of the ship Cruise Europe, landed in Ancona coming from Patras, Greece (Dec 1, 2010)"
murdered,malicious intent related death / manslaughter,2010,2,"killed by traffickers holding them in Sinai desert (Israel), for using phones to call for help (Jan 10, 2010)"
murdered,malicious intent related death / manslaughter,2010,6,"beaten to death with sticks by traffickers in Sinai desert (Israel), for trying to escape group (Jan 10, 2010)"
murdered,malicious intent related death / manslaughter,2010,1,"murdered, was forcibly returned to Kabul in 2006 when asylum denied in NL, killed by Taliban (Jan 8, 2010)"
suicide - other,suicide,2010,1,"suicide, depressed after asylum claim was rejected did not receive medical support (Jan 3, 2010)"
shot by the police,authorities related death,2009,1,"An exiled Eritrean killed in the shooting of Egyptian police along the border with Israel in Sinai (Sep 23, 2009)"
shot by the police,authorities related death,2009,2,"Two Eritrean refugees killed in the shooting of Egyptian police along the border with Israel in Sinai (Sep 16, 2009)"
suicide - hungerstrike,suicide,2009,1,"suicide, died of heart attack due to a month-long hunger strike in prison in Wien (A) (Sep 13, 2009)"
frozen,drowning or exhaustion related death,2009,1,"stowaway, frozen to death in a lorry trying to go from Tangeri (MA) to Marseilles (F) (Sep 11, 2009)"
shot by the police,authorities related death,2009,4,"Four migrants killed in the shooting of Egyptian police along the border with Israel in Sinai. Already the 12 people killed since May 2009 (Sep 9, 2009)"
police violence,authorities related death,2009,12,"missing after Benghazi (LY) massacre by police, in detention centre along LY to Italy route (Sep 7, 2009)"
police violence,authorities related death,2009,6,"killed by police in Benghazi massacre (LY), when prisoners tried to escape detention centre (Sep 7, 2009)"
fall,"violent accidental death (transport, blown in minefield...)",2009,1,"stowaway, body found on hallway Brindisi-Lecce (I) thrown over truck with 17 survivors (Sep 7, 2009)"
suicide - hanged,suicide,2009,1,"suicide, failed asylum seeker who hanged himself in a South Shields park (GB) (Sep 7, 2009)"
shot by the police,authorities related death,2009,1,"Egyptian police shooting at a group of migrants along the Sinai border with Israel. A man killed. Seriously injured an Eritrean girl 18 years (Sep 1, 2009)"
run over by a truck,"violent accidental death (transport, blown in minefield...)",2009,3,"run over by the truck he was hanged on to pass the border in Ancona (I) harbour (Aug 31, 2009)"
suicide - hanged,suicide,2009,1,"suicide, asylum seeker found hanging in prison cell in Nuremburg (D) four days earlier (Aug 24, 2009)"
suicide - other,suicide,2009,1,"suicide, overdose to family being moved to an asylum seekers camp in Mittweida (D) (Aug 23, 2009)"
starved,drowning or exhaustion related death,2009,72,"bodies thrown overboard after 23 days traveling from Libya to Lampedusa (I) (Aug 19, 2009). From Del Grande's data set (translated): Five Eritreans rescued on a raft 12 miles from Lampedusa say they spent 20 days adrift. 73 people have died in the crossing. Their bodies were thrown into the sea. The Maltese Armed Forces have spotted 7 corpses in the open sea (Aug 20, 2009)"
fall,"violent accidental death (transport, blown in minefield...)",2009,1,"A man hanging under the chassis of a truck just landed at the port of Brindisi loses his grip and falls, dying instantly (Aug 20, 2009)"
fall,"violent accidental death (transport, blown in minefield...)",2009,1,"fell from third floor window of an unfitted accommodation provided by a UKBA contractor (Aug 15, 2009)"
police violence,authorities related death,2009,20,"The Libyan police suppressed a riot erupted during an escape attempt in Ganfuda detention camp in Benghazi. At least six Somali refugees are stabbed to death. Other sources claim that the dead are 20 (Aug 9, 2009)"
fall,"violent accidental death (transport, blown in minefield...)",2009,1,"A dead near the port of Igoumenitsa. It was hidden in a truck, thinking that he was going to Italy, but when he realized he was heading to Athens threw himself losing his life in the fall (Aug 7, 2009)"
shot by the police,authorities related death,2009,1,"Egyptian police opened fire on a group of migrants at the border with Israel. A dead. It is the seventh victim since last May (Jul 31, 2009)"
police violence,authorities related death,2009,1,"murdered, beaten by border guards in his attempt to embark to reach I, died in GR hospital (Jul 26, 2009)"
police violence,authorities related death,2009,1,"Beaten by the police in the Greek port of Igoumenitsa, while trying to get on a truck ready to embark for Italy, a young Kurdish died at the hospital in Thessaloniki after four months in a coma (Jul 27, 2009)"
heart failure,drowning or exhaustion related death,2009,1,"died of heart attack in Tenerife (E), employer did not call for assistance as Luis was illegal (Jul 24, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,3,"Traffic accident with a truck load of emigrants to Kulp, in the province of Diyarbakr. Three people die, 18 injured (Jul 23, 2009)"
died from dehydration,drowning or exhaustion related death,2009,1,"Landing Canarian island of El Hierro. A dead man on board, a second man dies of dehydration after hospitalization (Jul 15, 2009)"
murdered,malicious intent related death / manslaughter,2009,1,"manslaughter, beaten by neonazis whilst returning to Möhlau asylum centre (D) at night (Jul 13, 2009)"
suicide - other,suicide,2009,1,"suicide in the detention centre of Ponte Gallera, in Roma (I) (Jul 4, 2009)"
shot by the police,authorities related death,2009,2,"Egyptian police opened fire on a group of migrants at the border with Israel. Killed two Somalis (Jul 3, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"stowaway,fell from the truck he was hidden, died in hospital 3h later in Ancona (I) (Jun 22, 2009). From Del Grande's data set (translated): Amir Rohol, nineteen year-old Afghan, died after falling from a truck unloaded in the port of Ancona and headed north along the junction between the 76 Freeway and the A14 (Jun 23, 2009)"
suicide - hanged,suicide,2009,1,"suicide in a cell in Barcelona (E) hanging himself with his own shirt, arrested because illegal  (Jun 18, 2009)"
suicide - jumped in water,suicide,2009,1,"suicide, jumped in Bilbao s river (E) escaping from policemen who took him for a thief (Jun 10, 2009)"
lack of medical care,drowning or exhaustion related death,2009,1,"medical neglect, died in Busmantsi detention centre (BG) where he had been held for 3 years (Jun 9, 2009)"
suicide - jumped in water,suicide,2009,1,"suicide, threw herself in the Brembo River in Bergamo (I) in fear of deportation (Jun 7, 2009)"
bled to death due to barbed wire,other,2009,1,"tangled in razor wire trying to jump a border fence from Morocco to Ceuta (E) (Jun 2, 2009)"
shot by the police,authorities related death,2009,1,"The Egyptian border police opened fire on a group of migrants along the Sinai border with Israel. One dead and one seriously injured (Jun 2, 2009)"
suicide - other,suicide,2009,1,"suicide after 67 days in detention centre in Gavle (S) in fear of being deported (May 26, 2009)"
suicide - other,suicide,2009,1,"reported suicide using tshirt but guards reportedly beat him in Barcelona detention centre(E) (May 18, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"road accident, tried to jump onto moving truck on motorway in Teteghem (F) towards B (May 18, 2009)"
murdered,malicious intent related death / manslaughter,2009,1,"stabbed after a brawl in Villemin square, Paris (F), where he lived as asylum seeker (May 3, 2009)"
illness,drowning or exhaustion related death,2009,1,"He died at the hospital in Caltanissetta, suffering from meningitis, one of the castaways rescued two weeks ago by the merchant turkish Pinar (May 2, 2009)"
frozen,drowning or exhaustion related death,2009,2,"reportedly died of hypothermia, found by Spanish authorities in the Strait of Gibraltar (E) (Apr 22, 2009)"
fall,"violent accidental death (transport, blown in minefield...)",2009,1,"Found a corpse in the Channel Tunnel. The man died falling off the wagon of the train in which he was hiding to reach England (Apr 5, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"Iraqi hiding under a truck embarked on a greek ferry from Patras, dies crushed between the axles of the articulated (Mar 29, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"stowaway, dead under a Bulgarian lorry he hang on to pass the border in Ancona harbour (I) (Mar 28, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"asylum seeker was run over by a lorry in Venice harbor (I) reportedly trying to skip ID control (Mar 25, 2009). From Del Grande's data set (translated): Found dead in the port of Venice, migrants hidden in a trailer on the ferry Hellenic Master, who started from Greece, and was crushed by a bale of waste paper (Mar 26, 2009)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2009,1,"reportedly beaten on the Ponte Gallierra det. cr. Roma (I) after refusal of medical treatment (Mar 18, 2009)"
starved,drowning or exhaustion related death,2009,11,"died of thirst in the LY-Niger desert trying to reach I, left there by Libyan authorities (Mar 15, 2009)"
bled to death due to barbed wire,other,2009,1,"Young migrant stays attached to the network in mid-air with barbed wire border of Ceuta and bleeds to death (Mar 7, 2009)"
starved,drowning or exhaustion related death,2009,3,"reportedly dehydration, died after 4 days without water or food in boat near Canary Isl. (E) (Feb 1, 2009). From Del Grande's data set (translated): Intercepted south of Gran Canaria island, a boat with 3 deaths on board (Feb 2, 2009)"
suicide - under train,suicide,2009,1,"suicide, jumped in front of train in Hamburg (D) after hearing he would be deported (Dec 31, 2009)"
suicide - hanged,suicide,2009,1,"suicide, transexual hanged herself with a sheet in detention center of Milan (I) (Dec 24, 2009)"
shot by the police,authorities related death,2009,2,"Two men killed by Egyptian border police at the border with Israel on Sinai (Dec 18, 2009)"
car accident,"violent accidental death (transport, blown in minefield...)",2009,1,"stowaway, killed crossing a highway near Calais (F), trying to go to GB by hiding in a truck (Dec 14, 2009). From Del Grande's data set (translated): Young Afghan fatally hit by a car while trying to hide under a truck in Calais to embark for England (Dec 15, 2009)"
suicide - jumped from building,suicide,2009,1,"suicide, jumped from bridge near Heathrow (GB) after police questioned her about residence (Dec 10, 2009)"
died from dehydration,drowning or exhaustion related death,2009,2,"1 died on board during travel, 1 died at the hospital of El Hierro (E) because of dehydration  (Dec 6, 2009)"
shot by the police,authorities related death,2009,1,"Egyptian police fired on the border with Israel at Sinai. A dead. At least 17 victims from the start of the year (Dec 1, 2009)"
murdered,malicious intent related death / manslaughter,2009,1,"murdered by his employer in Vercelli (I) as he did not want to pay him a 3 months salary  (Nov 23, 2009)"
shot by the police,authorities related death,2009,1,"The Egyptian border police shot and killed a man on the border with Israel. Three other people were arrested (Nov 14, 2009)"
asphyxiated,drowning or exhaustion related death,2009,1,"stowaway, asphyxiated while hidden in a lorry near Calais (F), trying to go to GB (Oct 29, 2009). From Del Grande's data set (translated): Calais, boy dies suffocated inside the truck in which he was hiding in an attempt to cross the Channel Tunnel, to England (Nov 1, 2009)"
suicide - jumped in water,suicide,2009,1,"jumped in river Thames(GB) after police questioned him in custody for immigration offences  (Oct 29, 2009)"
police violence,authorities related death,2009,1,"murdered, beaten, dragged in police station of Nikaia (GR) and tortured till death (Oct 9, 2009)"
suicide - hanged,suicide,2009,1,"suicide, unaccompanied minor who hanged himself in London (GB) as he feared eviction (Oct 8, 2009)"
shot by the police,authorities related death,2009,20,"murdered, guards opened fire during their escape attempt from det. cr. in Banghazi (LY) (Oct 7, 2009)"
frozen,drowning or exhaustion related death,2009,1,"died of burns and exposure after sailing by boat from Africa to Lampedusa (I) (Jan 21, 2009)"
frozen,drowning or exhaustion related death,2009,8,"reportedly frozen to death on the sailing from Libya to Lampedusa (I)  (Jan 20, 2009)"
frozen,drowning or exhaustion related death,2009,1,"frozen to death, body found under the Vittorio Emanuele Gallery in Messina (I) (Jan 18, 2009)"
asphyxiated,drowning or exhaustion related death,2009,1,"stowaway, suffocated, found in the back of a lorry entering the Channel Tunnel (F) to GB (Jan 10, 2009)"
lack of medical care,drowning or exhaustion related death,2009,1,"swine flu, died whilst staying in asylum centre in Norway, no medical care was given (Jan 10, 2009)"
suicide - other,suicide,2009,1,"suicide after his asylum claim was rejected in asylum seeker accomodation Varmland (S) (Jan 5, 2009)"
starved,drowning or exhaustion related death,2009,14,"died giving birth with 13 more in Oran s desert (AR) after got lost ran out of fuel and water (Jan 2, 2009)"
murdered,malicious intent related death / manslaughter,2008,1,"murdered, swam in search of help but captain of the boat threw him overboard (I) (Sep 30, 2008)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2008,4,"accidentally entered a minefield in Kastanea near Evros (GR), on the way to GR from Turkey (Sep 26, 2008)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2008,4,"4 migrants killed by landmines in a minefield along the border with Turkey, Kastanjes, in the region of Evros (Sep 26, 2008)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2008,4,"Truckload of immigrants jumping on a mine, 40 km north of Madama, on the border with Libya. The explosion ago 4 deaths (Sep 19, 2008)"
shot by the police,authorities related death,2008,2,"Egyptian police opened fire on a group of migrants along the Israeli border. Two deaths. At least 22 victims from the start of 2008 (Sep 9, 2008)"
starved,drowning or exhaustion related death,2008,13,"Rescue shipwrecked sailors adrift, five miles off the coast of Arguineguin, in the Canary Islands. On board the boat the bodies of 13 men died of starvation. Another body recovered at sea. They left 12 days ago from Mauritania (Sep 4, 2008)"
starved,drowning or exhaustion related death,2008,6,"Intercepted off the coast of Dakhla boat with 51 migrants on board. Among them, the bodies of six men died of starvation during the journey (Aug 28, 2008)"
murdered,malicious intent related death / manslaughter,2008,1,"caught on boat in Algiers (DZ), was pushed and fell 15m onto bunker, died from injuries (Aug 23, 2008)"
starved,drowning or exhaustion related death,2008,56,"died of dehydration in the Sahara Desert after 10 days of journey ran out of water and fuel  (Aug 22, 2008). From Del Grande's data set (translated): Found in the Algerian desert the bodies of 56 dead migrants dehydrated after losing the orientation on the slopes of Gao, Mali, and Reggane, Algeria (Aug 23, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,30,"Thirty Afghan refugees killed and 83 injured in a road accident with a truck carrying 125 people in the southern province of Fars, in Khiareh (Aug 21, 2008)"
starved,drowning or exhaustion related death,2008,35,"died of starvation, 25 survivors, boat found after living from Moroccan Coast to Almeria (E) (Aug 20, 2008)"
shot by the police,authorities related death,2008,1,"Sudanese killed 27 years under the Egyptian police firing at the border with Israel. 20 dead so far this year (Aug 19, 2008)"
died because of dangerous undeclared work,malicious intent related death / manslaughter,2008,1,An undocumented worker was hired by a local businessman. He died because of the lack of security on the building he was working on. The businessman was sentenced to two years in prison.
asphyxiated,drowning or exhaustion related death,2008,13,"stowaways, suffocated in overcrowded truck, bodies dumped in Istanbul field (TR) (Jul 29, 2008). From Del Grande's data set (translated): Found on the sides of a street in the neighborhood Kckcekmece in Istanbul, the bodies of 13 migrants died of suffocation in the truck where were hidden, with a group of 140 people from the city of Van (Jul 31, 2008)"
murdered,malicious intent related death / manslaughter,2008,1,"stabbed, by gang attacking migrant camp in Norrent-Fontes, near Calais (F) (Jul 22, 2008). From Del Grande's data set (translated): Eritrean Direct in England killed at a rest stop dell'A26 Cottes in Saint Hilaire, near Pas de Calais, the victim of a beating of his passeurs (Jul 23, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police kill Sudanese migrant at the border with Israel. Already 17 victims from the start of 2008 (Jul 20, 2008)"
starved,drowning or exhaustion related death,2008,1,"died of starvation, body thrown overboard during the way to Italy   (Jul 19, 2008). From Del Grande's data set (translated): Died during the crossing of the Strait of Sicily two children aged two and four years. The bodies dumped at sea (Jul 27, 2008)"
starved,drowning or exhaustion related death,2008,1,"died of starvation, body thrown overboard during the way to Italy   (Jul 18, 2008). From Del Grande's data set (translated): Died during the crossing of the Strait of Sicily two children aged two and four years. The bodies dumped at sea (Jul 27, 2008)"
suicide - other,suicide,2008,1,"suicide, cut wrists in Nuremburg(D) prison cell, was to be deported/separated from parents (Jul 15, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"road accident, found on highway at Transmarck (F), where stowaways often embark for GB (Jul 13, 2008). From Del Grande's data set (translated): Dead man hit by a truck on the A16, at the height of Transmarck, near Calais, where he was to pass the border illegally with England (Jul 15, 2008)"
starved or died from dehydration,drowning or exhaustion related death,2008,11,"Deaths rescued two survivors of the dugout on July 11, in the Canary Islands. They were hospitalized in critical condition. According to the statements of the passengers, the bodies of 11 other people were marooned in the sea for several days spent adrift without food or water (Jul 13, 2008)"
shot by the police,authorities related death,2008,1,"Oweid Ahmed Salim, an Egyptian, who was killed by the gunfire of the border police as he helped a group of 30 migrants to enter illegally into Israel from Sinai (Jul 12, 2008)"
heart failure,drowning or exhaustion related death,2008,1,"heart attack in hospital, he arrived by boat in La Gomera (E) with other 117 migrants (Jul 8, 2008)"
died from dehydration,drowning or exhaustion related death,2008,15,"15 Somalis dead dehydrated in the Libyan desert on the border with Sudan, were stuck for ten days after an engine failure the machine (Jul 6, 2008)"
lack of medical care,drowning or exhaustion related death,2008,2,"no medical care despite his friends called guards for help, died in det. cr. of Caltanisetta (I) (Jun 28, 2008)"
shot by the police,authorities related death,2008,2,"Egyptian police opened fire on a group of migrants along the Israeli border south of Rafah. Killed two people, including a seven year old girl (Jun 28, 2008)"
asphyxiated,drowning or exhaustion related death,2008,1,"stowaway, suffocated in a cucumber truck, found on ferry in Venice (I) coming from Greece (Jun 26, 2008). From Del Grande's data set (translated): Found the lifeless body of an Iraqi in a truckload of watermelons, on a ferry from Greece and party arrived in Venice (Jun 28, 2008)"
starved,drowning or exhaustion related death,2008,1,"stowaway, died of starvation in a lorry sailing on a ferry from Patrasso (GR) to Venice (I) (Jun 21, 2008). From Del Grande's data set (translated): Man found dead in a container in the port of Venice from Igoumenitsa in Greece (Jun 22, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died of heart attack in Det. Cr. Vincennes (F) after calls for assistance were ignored for 2 h. (Jun 20, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police shot and killed a man along the border with Israel. Since the beginning of 2008 at least 14 people were killed along the border of Sinai (Jun 19, 2008)"
died of suddent infant death,drowning or exhaustion related death,2008,1,"According to Antonio Sardo, the captain of the fishing boat Gamber, one of the rescued women gave birth to a child who died during the crossing (Jun 19, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"dead at birth due to travel hardships, mother was rescued from shipwreck 50 km from Malta (Jun 14, 2008)"
shot,malicious intent related death / manslaughter,2008,1,"A Somali citizen, named Adam Terry, dies killed by a shot of a firearm during a protest erupted in KIrklareli detention camp near the border with Bulgaria and Greece (Jun 12, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,2,"Is reversed in an accident in Dogubayazit, in eastern Turkey, a truckload of migrants. 2 dead (Jun 10, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"killed by car bomb in Kirkuk (Iraq) 2 weeks after voluntary repatriation from GB (Jun 8, 2008)"
burned or asphyxiated due to arson attack,malicious intent related death / manslaughter,2008,1,"jumped out of window when asylum-seeker centre set on fire in Klangenfurt, Carinthia (A) (Dec 5, 2008)"
run over by a bus,"violent accidental death (transport, blown in minefield...)",2008,1,"stowaway, hanging on underside of touristic bus was crushed from bus  weels in Spain (Jun 1, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died in hospital of heart condition as social workers attempted to clarify immigration status (Jun 1, 2008)"
asphyxiated,drowning or exhaustion related death,2008,2,"stowaways, died of suffocation while traveling by boat from the port of Sfax (TN) (May 25, 2008). From Del Grande's data set (translated): Hidden on the Russian cargo ship Pascal, sailed 12 days ago with a cargo of phosphates from Sfax, Tunisia, two men are found dead in the port of Ayr (May 28, 2008)"
died from dehydration,drowning or exhaustion related death,2008,3,"died of dehydration 1mile off Grand Canaria (E), 2 died in boat, 1 in hospital (E), 65 survived  (May 24, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"no medical care, died of pneumonia not cured by doctors of detention centre Brunelleschi (I) (May 23, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"stowaway, struck by car after falling off the truck he was hidden under on highway A381 (E) (May 9, 2008)"
asphyxiated,drowning or exhaustion related death,2008,18,"stowaways, died from asphyxiation in a track from Istanbul (TR) to GR after traffic accident (May 9, 2008)"
suicide - hanged,suicide,2008,1,"suicide, found hanged in GB after being asked to leave his home provided by the NASS (May 7, 2008)"
starved,drowning or exhaustion related death,2008,7,"7 of the 42 survivors of the shipwreck of Hoceima on April 28, died of starvation once deported and abandoned to the Algerian border in the province of Oujda (May 6, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"stowaway, car he was transported in crashed after being chased by police in Xanthi (GR) (May 4, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"crushed in Ceuta (E) by the wheels of a tour bus under he was hiding to cross Gibraltar (May 1, 2008)"
suicide,suicide,2008,1,"Ebenizer Folefack Sontsa, Cameroon, 32 years old, took his own life in the detention center for immigrants in Merksplas. He was in solitary confinement after an attempt to return on a scheduled flight, failed to protests from some passengers (May 1, 2008)"
shot by the police,authorities related death,2008,1,"Eritrean refugee killed by Border Police gunfire along the border with Israel (Apr 17, 2008)"
asphyxiated,drowning or exhaustion related death,2008,1,"stowaway, found on a Greek ferry in the port of Venice (I) under truck where he was hidden (Apr 6, 2008)"
suicide - other,suicide,2008,1,"suicide, took 40 antidepressant pills in Birkenfeld (D) as latest asylum claim was rejected  (Apr 4, 2008)"
heart failure,drowning or exhaustion related death,2008,1,"died of heart attack after jumping into river Marne in Paris (F) to avoid a police identy check (Apr 3, 2008)"
suicide - hanged,suicide,2008,1,"suicide, found hanged at Pentonville prison (GB), sentenced for having a fake passport (Mar 29, 2008)"
suicide - jumped from building,suicide,2008,1,"suicide, jumped from 19th floor of building in Berlin (D) after asylum claim rejected (Mar 28, 2008)"
shot by the police,authorities related death,2008,2,"Two Ivorians killed in the fire of the Egyptian police while trying to cross the border into Israel along the Sinai (Mar 27, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"no medical care, he got high dosages of cortisone in detention centre FG II in Zurich (CH) (Mar 22, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died in Ghana of cancer after being removed from hospital (GB) because visa expired  (Mar 18, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police fired on a group of migrants attempting to cross the Israeli border. An Eritrean woman murdered 25 years dies. It is the eighth victim so far this year (Mar 18, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died of cancer after medical neglect from the staff of Lindholme removal centre (GB) (Mar 7, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"no medical care, died in detention of heart failure, treated with wrong medicine (NL)  (Mar 1, 2008)"
shot by the police,authorities related death,2008,1,"Another Eritrean woman killed in the shooting of Egyptian border police along the border with Israel (Feb 25, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police kill a Sudanese Ermeniry Khasheef, on the border with Israel by shooting him in the back while trying to overcome the barrier of barbed wire near Rafah (Feb 19, 2008)"
suicide - put on fire,suicide,2008,1,"suicide, set himself on fire in Nelson (GB), depression after his asylum claim was refused (Feb 17, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police kill Eritrean woman, Mervat Mer Hatover, on the border with Israel by shooting as he tried to jump the barbed wire fence in the region of El Kuntilla in the south of the Sinai peninsula (Feb 16, 2008)"
suicide - other,suicide,2008,1,"suicide, after failed asylum claim in Meudon, a western suburb of Paris (F) (Feb 14, 2008)"
suicide - hanged,suicide,2008,1,"suicide, father was repratiated, hanged himself with bathrobe belt in Madrid care centre (E) (Feb 11, 2008)"
frozen,drowning or exhaustion related death,2008,1,"stowaway, died from hypothermia in the back of a lorry traveling from France to GB (Feb 11, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died from lung cancer after being denied treatment although he was living legally in GB  (Feb 10, 2008)"
fall,"violent accidental death (transport, blown in minefield...)",2008,1,"died after falling from third floor of a tower block raided by police and immigration officials (Feb 8, 2008)"
run over by a bus,"violent accidental death (transport, blown in minefield...)",2008,1,"In Ceuta, a man dies crushed under the wheels of the bus tour in which he was hiding to embark towards Algeciras (Feb 6, 2008)"
shot by the police,authorities related death,2008,1,"died on way to hospital in Nador (MA) after being shot by border guards in Farhana (E/MA) (Dec 31, 2008). From Del Grande's data set (translated): He died at the hospital in Nador El Hassani an immigrant Moroccan police wounded by gunfire while trying to cross the frontier of the Spanish enclave of Melilla (Jan 1, 2009)"
heart failure,drowning or exhaustion related death,2008,1,"heart attack from stress, soon after his release from 1 year's det in Busmantsi centre (BG) (Dec 31, 2008)"
