Year,Country / territory of asylum/residence,Origin,Population type,Value
2003,Bulgaria,Albania,Refugees (incl. refugee-like situations),5
2003,Bulgaria,Albania,Asylum-seekers,5
2003,Bulgaria,Algeria,Refugees (incl. refugee-like situations),21
2003,Bulgaria,Algeria,Asylum-seekers,2
2003,Bulgaria,Angola,Refugees (incl. refugee-like situations),5
2003,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Azerbaijan,Asylum-seekers,16
2003,Bulgaria,Bahrain,Asylum-seekers,1
2003,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),10
2003,Bulgaria,Benin,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2003,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Burundi,Asylum-seekers,2
2003,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),5
2003,Bulgaria,Cameroon,Asylum-seekers,1
2003,Bulgaria,Chad,Asylum-seekers,1
2003,Bulgaria,Colombia,Asylum-seekers,1
2003,Bulgaria,Congo,Refugees (incl. refugee-like situations),21
2003,Bulgaria,Cuba,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Cuba,Asylum-seekers,2
2003,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),31
2003,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,12
2003,Bulgaria,Egypt,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),7
2003,Bulgaria,Eritrea,Asylum-seekers,1
2003,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),58
2003,Bulgaria,Gambia,Asylum-seekers,2
2003,Bulgaria,Georgia,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Ghana,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Guinea,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Guinea,Asylum-seekers,4
2003,Bulgaria,India,Refugees (incl. refugee-like situations),2
2003,Bulgaria,India,Asylum-seekers,1
2003,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),192
2003,Bulgaria,Iran (Islamic Rep. of),Asylum-seekers,16
2003,Bulgaria,Iraq,Refugees (incl. refugee-like situations),1066
2003,Bulgaria,Iraq,Asylum-seekers,219
2003,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),22
2003,Bulgaria,Lebanon,Asylum-seekers,3
2003,Bulgaria,Liberia,Refugees (incl. refugee-like situations),11
2003,Bulgaria,Lithuania,Asylum-seekers,1
2003,Bulgaria,Malaysia,Asylum-seekers,1
2003,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Mauritania,Asylum-seekers,1
2003,Bulgaria,Mongolia,Asylum-seekers,2
2003,Bulgaria,Morocco,Asylum-seekers,1
2003,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Nigeria,Asylum-seekers,23
2003,Bulgaria,Pakistan,Asylum-seekers,28
2003,Bulgaria,Rep. of Moldova,Asylum-seekers,4
2003,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),8
2003,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Senegal,Asylum-seekers,1
2003,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),118
2003,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,19
2003,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returned refugees,3
2003,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2003,Bulgaria,Sierra Leone,Asylum-seekers,9
2003,Bulgaria,Somalia,Refugees (incl. refugee-like situations),68
2003,Bulgaria,Somalia,Asylum-seekers,4
2003,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2003,Bulgaria,Sri Lanka,Asylum-seekers,14
2003,Bulgaria,Stateless,Refugees (incl. refugee-like situations),189
2003,Bulgaria,Stateless,Asylum-seekers,18
2003,Bulgaria,Sudan,Refugees (incl. refugee-like situations),168
2003,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),65
2003,Bulgaria,Tajikistan,Asylum-seekers,2
2003,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),9
2003,Bulgaria,Tunisia,Asylum-seekers,1
2003,Bulgaria,Turkey,Refugees (incl. refugee-like situations),82
2003,Bulgaria,Turkey,Asylum-seekers,1
2003,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Turkmenistan,Asylum-seekers,1
2003,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
2003,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2003,Bulgaria,Yemen,Asylum-seekers,3
2003,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Zimbabwe,Asylum-seekers,1
2004,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1908
2004,Bulgaria,Afghanistan,Asylum-seekers,425
2004,Bulgaria,Albania,Refugees (incl. refugee-like situations),14
2004,Bulgaria,Albania,Asylum-seekers,5
2004,Bulgaria,Algeria,Refugees (incl. refugee-like situations),23
2004,Bulgaria,Angola,Refugees (incl. refugee-like situations),7
2004,Bulgaria,Armenia,Refugees (incl. refugee-like situations),7
2004,Bulgaria,Armenia,Asylum-seekers,33
2004,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Azerbaijan,Asylum-seekers,18
2004,Bulgaria,Bahrain,Asylum-seekers,1
2004,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),12
2004,Bulgaria,Bangladesh,Asylum-seekers,13
2004,Bulgaria,Belarus,Refugees (incl. refugee-like situations),1
2004,Bulgaria,Benin,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),13
2004,Bulgaria,Bosnia and Herzegovina,Asylum-seekers,1
2004,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Burundi,Asylum-seekers,2
2004,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),3
2004,Bulgaria,Cameroon,Asylum-seekers,1
2004,Bulgaria,Chad,Asylum-seekers,1
2004,Bulgaria,China,Asylum-seekers,4
2004,Bulgaria,"China, Macao SAR",Refugees (incl. refugee-like situations),5
2004,Bulgaria,Colombia,Asylum-seekers,1
2004,Bulgaria,Congo,Refugees (incl. refugee-like situations),24
2004,Bulgaria,Cuba,Refugees (incl. refugee-like situations),4
2004,Bulgaria,Cuba,Asylum-seekers,3
2004,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),25
2004,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,13
2004,Bulgaria,Egypt,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Egypt,Asylum-seekers,2
2004,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),7
2004,Bulgaria,Eritrea,Asylum-seekers,1
2004,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),60
2004,Bulgaria,Gambia,Asylum-seekers,2
2004,Bulgaria,Georgia,Refugees (incl. refugee-like situations),3
2004,Bulgaria,Germany,Asylum-seekers,1
2004,Bulgaria,Guinea,Refugees (incl. refugee-like situations),3
2004,Bulgaria,Guinea,Asylum-seekers,3
2004,Bulgaria,India,Refugees (incl. refugee-like situations),2
2004,Bulgaria,India,Asylum-seekers,52
2004,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),208
2004,Bulgaria,Iran (Islamic Rep. of),Asylum-seekers,6
2004,Bulgaria,Iraq,Refugees (incl. refugee-like situations),1152
2004,Bulgaria,Iraq,Asylum-seekers,154
2004,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),27
2004,Bulgaria,Lebanon,Asylum-seekers,3
2004,Bulgaria,Liberia,Refugees (incl. refugee-like situations),12
2004,Bulgaria,Liberia,Asylum-seekers,1
2004,Bulgaria,Lithuania,Asylum-seekers,1
2004,Bulgaria,Malaysia,Asylum-seekers,1
2004,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2004,Bulgaria,Mauritania,Asylum-seekers,6
2004,Bulgaria,Mongolia,Asylum-seekers,2
2004,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),11
2004,Bulgaria,Nigeria,Asylum-seekers,26
2004,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Pakistan,Asylum-seekers,37
2004,Bulgaria,Palestinian,Refugees (incl. refugee-like situations),19
2004,Bulgaria,Rep. of Moldova,Asylum-seekers,6
2004,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),11
2004,Bulgaria,Russian Federation,Asylum-seekers,1
2004,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),3
2004,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2004,Bulgaria,Senegal,Asylum-seekers,2
2004,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),389
2004,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,18
2004,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2004,Bulgaria,Sierra Leone,Asylum-seekers,9
2004,Bulgaria,Somalia,Refugees (incl. refugee-like situations),100
2004,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2004,Bulgaria,Sri Lanka,Asylum-seekers,14
2004,Bulgaria,Sri Lanka,Returned refugees,1
2004,Bulgaria,Stateless,Refugees (incl. refugee-like situations),185
2004,Bulgaria,Stateless,Asylum-seekers,39
2004,Bulgaria,Sudan,Refugees (incl. refugee-like situations),163
2004,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),72
2004,Bulgaria,Syrian Arab Rep.,Asylum-seekers,2
2004,Bulgaria,Tajikistan,Asylum-seekers,2
2004,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),12
2004,Bulgaria,Turkey,Refugees (incl. refugee-like situations),90
2004,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2004,Bulgaria,Turkmenistan,Asylum-seekers,1
2004,Bulgaria,Ukraine,Asylum-seekers,2
2004,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),4
2004,Bulgaria,Various/Unknown,Refugees (incl. refugee-like situations),68
2004,Bulgaria,Western Sahara,Asylum-seekers,2
2004,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2004,Bulgaria,Yemen,Asylum-seekers,3
2004,Bulgaria,Zambia,Refugees (incl. refugee-like situations),4
2004,Bulgaria,Zimbabwe,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1930
2005,Bulgaria,Afghanistan,Asylum-seekers,390
2005,Bulgaria,Albania,Refugees (incl. refugee-like situations),10
2005,Bulgaria,Albania,Asylum-seekers,5
2005,Bulgaria,Algeria,Refugees (incl. refugee-like situations),21
2005,Bulgaria,Angola,Refugees (incl. refugee-like situations),5
2005,Bulgaria,Armenia,Refugees (incl. refugee-like situations),10
2005,Bulgaria,Armenia,Asylum-seekers,5
2005,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Azerbaijan,Asylum-seekers,17
2005,Bulgaria,Bahrain,Asylum-seekers,1
2005,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),14
2005,Bulgaria,Bangladesh,Asylum-seekers,4
2005,Bulgaria,Belarus,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Belarus,Asylum-seekers,1
2005,Bulgaria,Benin,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2005,Bulgaria,Bosnia and Herzegovina,Asylum-seekers,1
2005,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Burundi,Asylum-seekers,2
2005,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),5
2005,Bulgaria,Cameroon,Asylum-seekers,1
2005,Bulgaria,China,Asylum-seekers,1
2005,Bulgaria,Colombia,Asylum-seekers,1
2005,Bulgaria,Congo,Refugees (incl. refugee-like situations),23
2005,Bulgaria,Congo,Asylum-seekers,3
2005,Bulgaria,Cuba,Refugees (incl. refugee-like situations),5
2005,Bulgaria,Cuba,Asylum-seekers,2
2005,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),31
2005,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,6
2005,Bulgaria,Egypt,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Egypt,Asylum-seekers,1
2005,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),7
2005,Bulgaria,Eritrea,Asylum-seekers,1
2005,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),55
2005,Bulgaria,Gambia,Asylum-seekers,2
2005,Bulgaria,Georgia,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Georgia,Asylum-seekers,1
2005,Bulgaria,Ghana,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Guinea,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Guinea,Asylum-seekers,3
2005,Bulgaria,India,Refugees (incl. refugee-like situations),2
2005,Bulgaria,India,Asylum-seekers,30
2005,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),205
2005,Bulgaria,Iraq,Refugees (incl. refugee-like situations),1171
2005,Bulgaria,Iraq,Asylum-seekers,154
2005,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),23
2005,Bulgaria,Lebanon,Asylum-seekers,7
2005,Bulgaria,Liberia,Refugees (incl. refugee-like situations),12
2005,Bulgaria,Lithuania,Asylum-seekers,1
2005,Bulgaria,Malaysia,Asylum-seekers,1
2005,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Mauritania,Asylum-seekers,6
2005,Bulgaria,Mongolia,Asylum-seekers,2
2005,Bulgaria,Morocco,Asylum-seekers,2
2005,Bulgaria,Nepal,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Nepal,Asylum-seekers,3
2005,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),10
2005,Bulgaria,Nigeria,Asylum-seekers,13
2005,Bulgaria,Pakistan,Asylum-seekers,38
2005,Bulgaria,Peru,Asylum-seekers,1
2005,Bulgaria,Rep. of Moldova,Asylum-seekers,6
2005,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),11
2005,Bulgaria,Russian Federation,Asylum-seekers,5
2005,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Senegal,Asylum-seekers,1
2005,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),118
2005,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,23
2005,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2005,Bulgaria,Sierra Leone,Asylum-seekers,9
2005,Bulgaria,Somalia,Refugees (incl. refugee-like situations),115
2005,Bulgaria,Somalia,Asylum-seekers,2
2005,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2005,Bulgaria,Sri Lanka,Asylum-seekers,14
2005,Bulgaria,Stateless,Refugees (incl. refugee-like situations),200
2005,Bulgaria,Stateless,Asylum-seekers,19
2005,Bulgaria,Sudan,Refugees (incl. refugee-like situations),171
2005,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),78
2005,Bulgaria,Tajikistan,Asylum-seekers,2
2005,Bulgaria,The former Yugoslav Republic of Macedonia,Asylum-seekers,1
2005,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),11
2005,Bulgaria,Tunisia,Asylum-seekers,1
2005,Bulgaria,Turkey,Refugees (incl. refugee-like situations),90
2005,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Turkmenistan,Asylum-seekers,1
2005,Bulgaria,Ukraine,Asylum-seekers,3
2005,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
2005,Bulgaria,United Rep. of Tanzania,Asylum-seekers,2
2005,Bulgaria,Uzbekistan,Asylum-seekers,4
2005,Bulgaria,Viet Nam,Asylum-seekers,3
2005,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2005,Bulgaria,Yemen,Asylum-seekers,3
2005,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2005,Bulgaria,Zimbabwe,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1967
2006,Bulgaria,Afghanistan,Asylum-seekers,395
2006,Bulgaria,Albania,Refugees (incl. refugee-like situations),10
2006,Bulgaria,Albania,Asylum-seekers,8
2006,Bulgaria,Algeria,Refugees (incl. refugee-like situations),21
2006,Bulgaria,Angola,Refugees (incl. refugee-like situations),5
2006,Bulgaria,Armenia,Refugees (incl. refugee-like situations),17
2006,Bulgaria,Armenia,Asylum-seekers,21
2006,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Azerbaijan,Asylum-seekers,18
2006,Bulgaria,Bahrain,Asylum-seekers,1
2006,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),14
2006,Bulgaria,Bangladesh,Asylum-seekers,6
2006,Bulgaria,Belarus,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Belarus,Asylum-seekers,2
2006,Bulgaria,Benin,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2006,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Burundi,Asylum-seekers,2
2006,Bulgaria,Cabo Verde,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),5
2006,Bulgaria,Cameroon,Asylum-seekers,1
2006,Bulgaria,Chad,Asylum-seekers,1
2006,Bulgaria,China,Asylum-seekers,4
2006,Bulgaria,Colombia,Asylum-seekers,1
2006,Bulgaria,Congo,Refugees (incl. refugee-like situations),23
2006,Bulgaria,Congo,Asylum-seekers,3
2006,Bulgaria,Cuba,Refugees (incl. refugee-like situations),5
2006,Bulgaria,Cuba,Asylum-seekers,2
2006,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),31
2006,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,6
2006,Bulgaria,Egypt,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Egypt,Asylum-seekers,1
2006,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),7
2006,Bulgaria,Eritrea,Asylum-seekers,1
2006,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),55
2006,Bulgaria,Gambia,Asylum-seekers,2
2006,Bulgaria,Georgia,Refugees (incl. refugee-like situations),3
2006,Bulgaria,Georgia,Asylum-seekers,4
2006,Bulgaria,Ghana,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Guinea,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Guinea,Asylum-seekers,3
2006,Bulgaria,India,Refugees (incl. refugee-like situations),2
2006,Bulgaria,India,Asylum-seekers,22
2006,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),214
2006,Bulgaria,Iraq,Refugees (incl. refugee-like situations),1199
2006,Bulgaria,Iraq,Asylum-seekers,189
2006,Bulgaria,Israel,Asylum-seekers,1
2006,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Jordan,Asylum-seekers,1
2006,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),23
2006,Bulgaria,Lebanon,Asylum-seekers,14
2006,Bulgaria,Liberia,Refugees (incl. refugee-like situations),12
2006,Bulgaria,Lithuania,Asylum-seekers,1
2006,Bulgaria,Malaysia,Asylum-seekers,1
2006,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Mauritania,Asylum-seekers,6
2006,Bulgaria,Mongolia,Asylum-seekers,2
2006,Bulgaria,Morocco,Asylum-seekers,1
2006,Bulgaria,Nepal,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),10
2006,Bulgaria,Nigeria,Asylum-seekers,11
2006,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Pakistan,Asylum-seekers,32
2006,Bulgaria,Peru,Asylum-seekers,1
2006,Bulgaria,Rep. of Moldova,Asylum-seekers,6
2006,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),8
2006,Bulgaria,Russian Federation,Asylum-seekers,11
2006,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Senegal,Asylum-seekers,1
2006,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),118
2006,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,27
2006,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returned refugees,1
2006,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2006,Bulgaria,Sierra Leone,Asylum-seekers,9
2006,Bulgaria,Somalia,Refugees (incl. refugee-like situations),119
2006,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2006,Bulgaria,Sri Lanka,Asylum-seekers,14
2006,Bulgaria,Stateless,Refugees (incl. refugee-like situations),200
2006,Bulgaria,Stateless,Asylum-seekers,9
2006,Bulgaria,Sudan,Refugees (incl. refugee-like situations),172
2006,Bulgaria,Sudan,Asylum-seekers,1
2006,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),79
2006,Bulgaria,The former Yugoslav Republic of Macedonia,Asylum-seekers,1
2006,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),12
2006,Bulgaria,Turkey,Refugees (incl. refugee-like situations),91
2006,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Turkmenistan,Asylum-seekers,1
2006,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
2006,Bulgaria,United Rep. of Tanzania,Asylum-seekers,2
2006,Bulgaria,Uzbekistan,Asylum-seekers,4
2006,Bulgaria,Various/Unknown,Asylum-seekers,2
2006,Bulgaria,Viet Nam,Asylum-seekers,5
2006,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2006,Bulgaria,Yemen,Asylum-seekers,3
2006,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2006,Bulgaria,Zimbabwe,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1990
2007,Bulgaria,Afghanistan,Asylum-seekers,380
2007,Bulgaria,Albania,Refugees (incl. refugee-like situations),10
2007,Bulgaria,Albania,Asylum-seekers,4
2007,Bulgaria,Algeria,Refugees (incl. refugee-like situations),21
2007,Bulgaria,Angola,Refugees (incl. refugee-like situations),5
2007,Bulgaria,Armenia,Refugees (incl. refugee-like situations),20
2007,Bulgaria,Armenia,Asylum-seekers,29
2007,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),3
2007,Bulgaria,Azerbaijan,Asylum-seekers,17
2007,Bulgaria,Bahrain,Asylum-seekers,1
2007,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),14
2007,Bulgaria,Bangladesh,Asylum-seekers,3
2007,Bulgaria,Belarus,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Belarus,Asylum-seekers,1
2007,Bulgaria,Benin,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2007,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Burundi,Asylum-seekers,2
2007,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),5
2007,Bulgaria,Cameroon,Asylum-seekers,1
2007,Bulgaria,Chad,Asylum-seekers,1
2007,Bulgaria,China,Asylum-seekers,3
2007,Bulgaria,Colombia,Asylum-seekers,1
2007,Bulgaria,Congo,Refugees (incl. refugee-like situations),23
2007,Bulgaria,Congo,Asylum-seekers,3
2007,Bulgaria,Cote d'Ivoire,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Cuba,Refugees (incl. refugee-like situations),5
2007,Bulgaria,Cuba,Asylum-seekers,2
2007,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),31
2007,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,6
2007,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),9
2007,Bulgaria,Eritrea,Asylum-seekers,1
2007,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),55
2007,Bulgaria,Gambia,Asylum-seekers,2
2007,Bulgaria,Georgia,Refugees (incl. refugee-like situations),3
2007,Bulgaria,Georgia,Asylum-seekers,2
2007,Bulgaria,Ghana,Refugees (incl. refugee-like situations),1
2007,Bulgaria,Guinea,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Guinea,Asylum-seekers,3
2007,Bulgaria,India,Refugees (incl. refugee-like situations),2
2007,Bulgaria,India,Asylum-seekers,22
2007,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),224
2007,Bulgaria,Iraq,Refugees (incl. refugee-like situations),1475
2007,Bulgaria,Iraq,Asylum-seekers,336
2007,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),26
2007,Bulgaria,Lebanon,Asylum-seekers,8
2007,Bulgaria,Liberia,Refugees (incl. refugee-like situations),12
2007,Bulgaria,Libya,Refugees (incl. refugee-like situations),1
2007,Bulgaria,Lithuania,Asylum-seekers,1
2007,Bulgaria,Malaysia,Asylum-seekers,1
2007,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2007,Bulgaria,Mauritania,Asylum-seekers,6
2007,Bulgaria,Mongolia,Asylum-seekers,3
2007,Bulgaria,Morocco,Asylum-seekers,1
2007,Bulgaria,Nepal,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),10
2007,Bulgaria,Nigeria,Asylum-seekers,11
2007,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),1
2007,Bulgaria,Pakistan,Asylum-seekers,32
2007,Bulgaria,Peru,Asylum-seekers,1
2007,Bulgaria,Rep. of Moldova,Asylum-seekers,6
2007,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),8
2007,Bulgaria,Russian Federation,Asylum-seekers,13
2007,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2007,Bulgaria,Senegal,Asylum-seekers,1
2007,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),118
2007,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,24
2007,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2007,Bulgaria,Sierra Leone,Asylum-seekers,9
2007,Bulgaria,Somalia,Refugees (incl. refugee-like situations),120
2007,Bulgaria,South Africa,Asylum-seekers,1
2007,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2007,Bulgaria,Sri Lanka,Asylum-seekers,14
2007,Bulgaria,Stateless,Refugees (incl. refugee-like situations),201
2007,Bulgaria,Stateless,Asylum-seekers,34
