NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT03969732,Multimodal Biomarkers for Diagnosis and Prognosis in CAA,Recruiting,Cerebral Amyloid Angiopathy|Intracranial Hemorrhages|Alzheimer Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 3,240,Interventional,"September 27, 2018","July 31, 2022",https://ClinicalTrials.gov/show/NCT03969732,20 Years and older ,20,18 to 40 years old
NCT00719394,Study Evaluating Safety of GSI 136 in Young and Elderly Japanese Males,Completed,Alzheimer Disease|Healthy,Male,"20 Years and older   (Adult, Older Adult)",Phase 1,72,Interventional,March 2008,August 2008,https://ClinicalTrials.gov/show/NCT00719394,20 Years and older ,20,18 to 40 years old
NCT03542656,Application of Amyloid PET in Cerebral Amyloid Angiopathy,Completed,Cerebral Amyloid Angiopathy|Intracranial Hemorrhages|Alzheimer Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 3,160,Interventional,"September 11, 2014","March 22, 2018",https://ClinicalTrials.gov/show/NCT03542656,20 Years and older ,20,18 to 40 years old
NCT00684710,"Study Evaluating the Safety, Tolerability and Activity of One Dose of PAZ-417 Given to Healthy Japanese Subjects",Completed,Alzheimer Disease|Healthy,Male,"20 Years and older   (Adult, Older Adult)",Phase 1,56,Interventional,April 2008,August 2008,https://ClinicalTrials.gov/show/NCT00684710,20 Years and older ,20,18 to 40 years old
NCT02614131,A Study of LY2599666 in Healthy Participants and Participants With Mild Cognitive Impairment or Alzheimer's Disease (AD),Terminated,Healthy|Alzheimer's Disease|Mild Cognitive Impairment,All,"20 Years and older   (Adult, Older Adult)",Phase 1,50,Interventional,December 2015,December 2016,https://ClinicalTrials.gov/show/NCT02614131,20 Years and older ,20,18 to 40 years old
NCT02323334,A Study of LY3202626 in Healthy Participants and Participants With Alzheimer's Disease,Completed,Healthy Volunteers|Alzheimer Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 1,136,Interventional,December 2014,February 2016,https://ClinicalTrials.gov/show/NCT02323334,20 Years and older ,20,18 to 40 years old
NCT03378037,The Effects of Acupuncture on the Risk of AD After TBI,Recruiting,"Brain Injuries, Traumatic",All,"20 Years and older   (Adult, Older Adult)",Not Applicable,76,Interventional,"December 25, 2017",June 2020,https://ClinicalTrials.gov/show/NCT03378037,20 Years and older ,20,18 to 40 years old
NCT02016560,"Analysis of 18F-AV-1451 PET Imaging in Cognitively Healthy, MCI and AD Subjects",Completed,Alzheimer's Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,383,Interventional,December 2013,"July 28, 2017",https://ClinicalTrials.gov/show/NCT02016560,20 Years and older ,20,18 to 40 years old
NCT01859767,Efficacy and Safety of MNI-672 SPECT for Detection/Exclusion of Cerebral B-amyloid in AD Subjects Compared to HVs.,Completed,Alzheimer's Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 1,6,Interventional,April 2013,April 2015,https://ClinicalTrials.gov/show/NCT01859767,20 Years and older ,20,18 to 40 years old
NCT01867372,Early Markers of Alzheimer's Disease: Structural and Functional Brain Changes,Terminated,Alzheimer's Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 4,213,Observational,"March 10, 2003","September 22, 2014",https://ClinicalTrials.gov/show/NCT01867372,20 Years and older ,20,18 to 40 years old
NCT01227252,A Safety Study of LY2886721 Multiple Doses in Healthy Subjects,Completed,Alzheimer's Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 1,42,Interventional,December 2010,April 2011,https://ClinicalTrials.gov/show/NCT01227252,20 Years and older ,20,18 to 40 years old
NCT00479349,"Study Evaluating the Safety, Pharmacokinetics, and Pharmacodynamics of SAM-531",Completed,Alzheimer Disease,Male,"20 Years and older   (Adult, Older Adult)",Phase 1,32,Interventional,May 2007,January 2008,https://ClinicalTrials.gov/show/NCT00479349,20 Years and older ,20,18 to 40 years old
NCT00441987,Study Evaluating the Safety and Pharmacokinetics of a Single Dose of GSI-953,Completed,Alzheimer Disease|Healthy,Male,"20 Years and older   (Adult, Older Adult)",Phase 1,96,Interventional,February 2007,July 2009,https://ClinicalTrials.gov/show/NCT00441987,20 Years and older ,20,18 to 40 years old
NCT01133405,A Safety Study of LY2886721 Single Doses in Healthy Subjects,Completed,Alzheimer's Disease,All,"20 Years and older   (Adult, Older Adult)",Phase 1,40,Interventional,June 2010,October 2010,https://ClinicalTrials.gov/show/NCT01133405,20 Years and older ,20,18 to 40 years old
NCT03174938,The Swedish BioFINDER 2 Study,Recruiting,Dementia|Alzheimer Disease|Parkinson Disease|Lewy Body Disease|Parkinson-Dementia Syndrome|Frontotemporal Degeneration|Semantic Dementia|Progressive Nonfluent Aphasia|Progressive Supranuclear Palsy|Corticobasal Degeneration|Multiple System Atrophy|Mild Cognitive Impairment,All,"20 Years to 100 Years   (Adult, Older Adult)",Not Applicable,1505,Interventional,"May 15, 2017","December 31, 2028",https://ClinicalTrials.gov/show/NCT03174938,20 Years to 100 Years ,20,18 to 40 years old
NCT03283449,Tau PET Imaging in Atypical Dementias,Recruiting,Primary Progressive Aphasia With Suspected Alzheimer's Disease,All,"20 Years to 100 Years   (Adult, Older Adult)",Phase 1,70,Interventional,February 2016,"February 1, 2023",https://ClinicalTrials.gov/show/NCT03283449,20 Years to 100 Years ,20,18 to 40 years old
NCT04025801,Heidelberg In Vivo Confocal Microscopy to Evaluate the Ocular Surface Disorders of Healthy and Diseased Individuals,Not yet recruiting,Healthy Individuals|Diabetes|Hypertension|Fabry Disease|Metabolic Disease|Alzheimer Disease|Dementia|Limbal Insufficiency|Phlyctenulosis|Ocular Rosacea|Graft Versus Host Disease in Eye|Dry Eye Syndrome,All,20 Years to 40 Years   (Adult),Phase 4,400,Observational,"July 31, 2019",June 2020,https://ClinicalTrials.gov/show/NCT04025801,20 Years to 40 Years ,20,18 to 40 years old
NCT01057030,Multiple Dose Japanese Bridging Study,Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,22,Interventional,March 2010,June 2010,https://ClinicalTrials.gov/show/NCT01057030,20 Years to 45 Years ,20,18 to 40 years old
NCT00479297,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-531 in Healthy Japanese Males",Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,72,Interventional,May 2006,February 2007,https://ClinicalTrials.gov/show/NCT00479297,20 Years to 45 Years ,20,18 to 40 years old
NCT02820155,Phase I Single and Multiple Escalating Dose Study of RGN1016 in Healthy Male Subjects,Unknown status,Healthy,Male,20 Years to 45 Years   (Adult),Phase 1,80,Interventional,June 2016,February 2017,https://ClinicalTrials.gov/show/NCT02820155,20 Years to 45 Years ,20,18 to 40 years old
NCT01860625,"A Phase I Clinical, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects",Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,36,Interventional,April 2013,February 2014,https://ClinicalTrials.gov/show/NCT01860625,20 Years to 45 Years ,20,18 to 40 years old
NCT00480467,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-315 in Healthy Japanese Males",Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,32,Interventional,September 2006,August 2007,https://ClinicalTrials.gov/show/NCT00480467,20 Years to 45 Years ,20,18 to 40 years old
NCT02178124,"A Phase I Clinical Study, Randomized, Single-blind, Placebo-controlled, Multiple Doses, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects.",Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,24,Interventional,July 2014,December 2014,https://ClinicalTrials.gov/show/NCT02178124,20 Years to 45 Years ,20,18 to 40 years old
NCT01297036,Pharmacokinetic Comparisons of Two Donepezil Formulations,Completed,Alzheimer Disease,Male,20 Years to 45 Years   (Adult),Phase 1,22,Interventional,January 2008,May 2008,https://ClinicalTrials.gov/show/NCT01297036,20 Years to 45 Years ,20,18 to 40 years old
NCT03584568,Reappraising Intergeneration Relationships in Dementia Caregiving,Recruiting,Alzheimer Dementia,All,20 Years to 60 Years   (Adult),Not Applicable,154,Interventional,"November 11, 2018","July 8, 2021",https://ClinicalTrials.gov/show/NCT03584568,20 Years to 60 Years ,20,18 to 40 years old
NCT03212599,Disulfiram as a Modulator of Amyloid Precursor Protein-processing,Completed,Alcohol Addiction,All,20 Years to 60 Years   (Adult),Phase 4,17,Observational,May 2013,July 2017,https://ClinicalTrials.gov/show/NCT03212599,20 Years to 60 Years ,20,18 to 40 years old
NCT00713765,Pharmacokinetic Interaction Between AZD3480 and Donepezil,Terminated,Alzheimer's Disease,All,20 Years to 60 Years   (Adult),Phase 1,33,Interventional,December 2008,December 2008,https://ClinicalTrials.gov/show/NCT00713765,20 Years to 60 Years ,20,18 to 40 years old
NCT00838084,A Safety Study of LY2811376 Single Doses in Healthy Subjects,Completed,Alzheimer's Disease,All,"20 Years to 65 Years   (Adult, Older Adult)",Phase 1,61,Interventional,December 2008,June 2009,https://ClinicalTrials.gov/show/NCT00838084,20 Years to 65 Years ,20,18 to 40 years old
NCT01297114,"Imaging of Cognition, Learning, and Memory in Aging",Completed,Alzheimer's Disease,All,"20 Years to 70 Years   (Adult, Older Adult)",Phase 4,294,Observational,March 2011,"October 1, 2017",https://ClinicalTrials.gov/show/NCT01297114,20 Years to 70 Years ,20,18 to 40 years old
NCT03052712,Validation and Standardization of a Battery Evaluation of the Socio-emotional Functions in Various Neurological Pathologies,Recruiting,Alzheimer Disease|Parkinson Disease|Frontal Dementia|Huntington Disease|Traumatic Brain Injury|Stroke,All,"20 Years to 80 Years   (Adult, Older Adult)",Not Applicable,1170,Interventional,"September 9, 2016","September 9, 2019",https://ClinicalTrials.gov/show/NCT03052712,20 Years to 80 Years ,20,18 to 40 years old
NCT03112096,A Phase I [18F]THK-5351 Positron Emission Tomography Study in Healthy Subjects and Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"20 Years to 80 Years   (Adult, Older Adult)",Phase 1,20,Interventional,"May 17, 2017","August 30, 2018",https://ClinicalTrials.gov/show/NCT03112096,20 Years to 80 Years ,20,18 to 40 years old
NCT02149017,Phase 1 and Phase 2 Clinical Trials of SNUBH-NM-333(18F),Terminated,Alzheimer Disease,All,"20 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,30,Interventional,December 2010,December 2012,https://ClinicalTrials.gov/show/NCT02149017,20 Years to 80 Years ,20,18 to 40 years old
NCT00548145,The Clinical Study of Pitavastatin Treatment for Group of Mild to Moderate Alzheimer's Disease,Terminated,Alzheimer Disease|Hypercholesterolemia,All,"20 Years to 85 Years   (Adult, Older Adult)",Not Applicable,38,Interventional,November 2007,March 2012,https://ClinicalTrials.gov/show/NCT00548145,20 Years to 85 Years ,20,18 to 40 years old
NCT03389698,Developing Advanced Blood-Brain Barrier Permeability Imaging for Early AD,Recruiting,Alzheimer Disease,All,"20 Years to 85 Years   (Adult, Older Adult)",Not Applicable,60,Interventional,"December 18, 2018",February 2021,https://ClinicalTrials.gov/show/NCT03389698,20 Years to 85 Years ,20,18 to 40 years old
NCT03227185,Supporting Episodic Memory With Transcranial Direct Current Stimulation in Healthy Controls and Dementia Patients,Recruiting,Healthy|Mild Cognitive Impairment|Alzheimer Disease,All,"20 Years to 85 Years   (Adult, Older Adult)",Not Applicable,110,Interventional,"October 1, 2017","February 29, 2020",https://ClinicalTrials.gov/show/NCT03227185,20 Years to 85 Years ,20,18 to 40 years old
NCT00692705,"Positron Emission Tomography (PET) Study With [11C]AZD2995 and [11C]AZD2184, Candidate PET Ligands for β Amyloid",Completed,Alzheimer´s Disease,All,"20 Years to 85 Years   (Adult, Older Adult)",Phase 1,13,Interventional,January 2008,December 2008,https://ClinicalTrials.gov/show/NCT00692705,20 Years to 85 Years ,20,18 to 40 years old
NCT02370524,Quantitative Evaluation of [18F]T807 as a Potential PET Radioligand for Imaging Tau in Patients With Alzheimer's Disease,Completed,Alzheimer's Disease (AD),All,"20 Years to 90 Years   (Adult, Older Adult)",Phase 1,16,Interventional,January 2015,January 2016,https://ClinicalTrials.gov/show/NCT02370524,20 Years to 90 Years ,20,18 to 40 years old
NCT03625128,"18F-PM-PBB3 PET Study in Tauopathy Including Alzheimer's Disease, Other Dementias and Normal Controls",Completed,Alzheimer's Disease|Cortical Basal Syndrome|Frontotemporal Dementia|Progressive Supranuclear Palsy|Vascular Cognitive Impairment,All,"20 Years to 90 Years   (Adult, Older Adult)",Early Phase 1,36,Interventional,"January 2, 2018","December 3, 2018",https://ClinicalTrials.gov/show/NCT03625128,20 Years to 90 Years ,20,18 to 40 years old
NCT02686216,"Biodistribution, Pharmacokinetics, and Safety of F-18 THK-5351 PET in Alzheimer's Disease Patients and Healthy Subjects.(Positron Emission Tomograph )",Completed,Alzheimer's Disease,All,"20 Years to 90 Years   (Adult, Older Adult)",Phase 1,24,Interventional,December 2015,November 2016,https://ClinicalTrials.gov/show/NCT02686216,20 Years to 90 Years ,20,18 to 40 years old
NCT02137460,Korean Brain Aging Study for Early Diagnosis and Prediction of Alzheimer's Disease,"Active, not recruiting",Alzheimer's Disease|Mild Cognitive Impairment,All,"20 Years to 90 Years   (Adult, Older Adult)",Phase 4,920,Observational,May 2014,February 2020,https://ClinicalTrials.gov/show/NCT02137460,20 Years to 90 Years ,20,18 to 40 years old
NCT00094913,PET Changes in Alzheimer's Disease (AD),Unknown status,Alzheimer Disease,All,"20 Years to 90 Years   (Adult, Older Adult)",Phase 4,105,Observational,May 2004,April 2005,https://ClinicalTrials.gov/show/NCT00094913,20 Years to 90 Years ,20,18 to 40 years old
NCT01322373,A Study of Alzheimer's Disease Using Magnetoencephalography (MEG) and the Synchronous Neural Interaction™ Test,Unknown status,Alzheimer's Disease,All,"20 Years to 92 Years   (Adult, Older Adult)",Phase 4,120,Observational,March 2011,August 2011,https://ClinicalTrials.gov/show/NCT01322373,20 Years to 92 Years ,20,18 to 40 years old
NCT03587012,Brain Fitness APP for Cognitive Enhancement,Enrolling by invitation,Mild Cognitive Impairment|Alzheimer Dementia,All,"20 Years to 95 Years   (Adult, Older Adult)",Not Applicable,30,Interventional,"June 20, 2018",December 2020,https://ClinicalTrials.gov/show/NCT03587012,20 Years to 95 Years ,20,18 to 40 years old
NCT02343757,Alzheimer's Disease Imaging With PET/MRI - Beta-amyloid,Unknown status,Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,30,Interventional,October 2013,December 2016,https://ClinicalTrials.gov/show/NCT02343757,21 Years and older ,21,18 to 40 years old
NCT01020838,Phase III Study of Florbetaben (BAY94-9172) PET Imaging for Detection/Exclusion of Cerebral β-amyloid Compared to Histopathology,Completed,Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 3,218,Interventional,November 2009,December 2013,https://ClinicalTrials.gov/show/NCT01020838,21 Years and older ,21,18 to 40 years old
NCT00965835,Amyloid Plaque and Tangle Imaging in Alzheimer's Disease and Down Syndrome,Unknown status,Down Syndrome|Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 4,40,Observational,August 2009,May 2011,https://ClinicalTrials.gov/show/NCT00965835,21 Years and older ,21,18 to 40 years old
NCT00467766,Combining a Caregiver Intervention With Aricept Treatment for Mild to Moderate Alzheimer’s Disease,Completed,Alzheimer Disease|Caregivers,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,300,Interventional,July 1999,June 2003,https://ClinicalTrials.gov/show/NCT00467766,21 Years and older ,21,18 to 40 years old
NCT00759863,LifeZig Personalized Reminiscence Video With Slideshows and Music for Individuals With Alzheimer's and Dementia,Completed,Alzheimer's Disease|Dementia,All,"21 Years and older   (Adult, Older Adult)",Phase 2,242,Interventional,August 2006,April 2009,https://ClinicalTrials.gov/show/NCT00759863,21 Years and older ,21,18 to 40 years old
NCT00178165,Coordinating Center for Enhancing ADRD Caregiving,Completed,Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,1200,Interventional,September 1996,November 2001,https://ClinicalTrials.gov/show/NCT00178165,21 Years and older ,21,18 to 40 years old
NCT01886820,A Phase 3 Clinical Trial to Evaluate the Efficacy and Safety of [18F]NAV4694 PET for Detection of Cerebral Beta-Amyloid When Compared With Postmortem Histopathology,Unknown status,Dementia|Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 3,290,Interventional,June 2013,September 2018,https://ClinicalTrials.gov/show/NCT01886820,21 Years and older ,21,18 to 40 years old
NCT01378195,iCare Stress Management e-Training for Dementia Family Caregivers,Completed,Alzheimer's Disease|Dementia,All,"21 Years and older   (Adult, Older Adult)",Phase 2,150,Interventional,May 2011,July 2012,https://ClinicalTrials.gov/show/NCT01378195,21 Years and older ,21,18 to 40 years old
NCT02915939,The Residential Care Transition Module,Recruiting,Alzheimer Disease|Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,240,Interventional,December 2016,May 2021,https://ClinicalTrials.gov/show/NCT02915939,21 Years and older ,21,18 to 40 years old
NCT03665909,A Proactive Health Monitoring Intervention for Dementia Caregivers,"Active, not recruiting",Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 3,170,Interventional,"April 1, 2014","March 3, 2020",https://ClinicalTrials.gov/show/NCT03665909,21 Years and older ,21,18 to 40 years old
NCT03333252,A Non-pharmacological Intervention for Patients With Alzheimer's Disease and Family Caregivers (Care Partners Program),Recruiting,Caregiver,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,246,Interventional,"January 29, 2018","April 30, 2021",https://ClinicalTrials.gov/show/NCT03333252,21 Years and older ,21,18 to 40 years old
NCT00593372,Treatment of Language and Memory in Patients With Alzheimer's Disease,Completed,Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 1,11,Interventional,August 2003,April 2010,https://ClinicalTrials.gov/show/NCT00593372,21 Years and older ,21,18 to 40 years old
NCT02300584,"Distance Savvy: Testing Tele-Savvy, a Distance Dementia Family Caregiver Education Program",Completed,Dementia|Alzheimer's Disease|Depression,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,42,Interventional,November 2014,October 2015,https://ClinicalTrials.gov/show/NCT02300584,21 Years and older ,21,18 to 40 years old
NCT00259467,Project TAP: Tailored Activities Project,Completed,Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 1,60,Interventional,February 2004,January 2007,https://ClinicalTrials.gov/show/NCT00259467,21 Years and older ,21,18 to 40 years old
NCT00259480,Project ACT: Advancing Caregiving Techniques,Completed,Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 3,272,Interventional,August 2001,March 2015,https://ClinicalTrials.gov/show/NCT00259480,21 Years and older ,21,18 to 40 years old
NCT03218982,Vietnamese Caregiver Intervention Study,Recruiting,Alzheimer's Disease (Incl Subtypes)|Cognitive Impairment,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,24,Interventional,"May 22, 2017","June 30, 2020",https://ClinicalTrials.gov/show/NCT03218982,21 Years and older ,21,18 to 40 years old
NCT00259454,Project COPE:Managing Dementia at Home,Completed,"Dementia, Alzheimer Type",All,"21 Years and older   (Adult, Older Adult)",Phase 3,278,Interventional,June 2005,July 2009,https://ClinicalTrials.gov/show/NCT00259454,21 Years and older ,21,18 to 40 years old
NCT01465360,"Performance of AclarusDx™, a Blood-Based Transcriptomic Test for AD, in US Patients Newly Referred to a Memory Center",Completed,Alzheimer's Disease|Mild Cognitive Impairment|Vascular Dementia|Fronto-temporal Dementia|Primary Progressive Aphasia|Parkinson' Disease Dementia|Mixed Dementia,All,"21 Years and older   (Adult, Older Adult)",Phase 4,160,Observational,November 2011,,https://ClinicalTrials.gov/show/NCT01465360,21 Years and older ,21,18 to 40 years old
NCT02120664,Florbetapir Calibration to the Centiloid Scale,Completed,Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 1,35,Interventional,April 2014,September 2015,https://ClinicalTrials.gov/show/NCT02120664,21 Years and older ,21,18 to 40 years old
NCT03244917,Trial to Reduce Antimicrobial Use In Nursing Home Residents With Alzheimer's Disease and Other Dementias,Recruiting,"Dementia|Infection, Bacterial",All,"21 Years and older   (Adult, Older Adult)",Not Applicable,410,Interventional,"October 15, 2017",March 2021,https://ClinicalTrials.gov/show/NCT03244917,21 Years and older ,21,18 to 40 years old
NCT03100617,Alzheimer's Family Caregiver Intervention in Vietnam,Recruiting,Dementia Alzheimers,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,8,Interventional,"August 26, 2017","June 18, 2019",https://ClinicalTrials.gov/show/NCT03100617,21 Years and older ,21,18 to 40 years old
NCT00255866,Improving Mood and Behavior in Assisted Living Residents Through Skills Training for Their Caregivers,Completed,Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,90,Interventional,January 2004,December 2006,https://ClinicalTrials.gov/show/NCT00255866,21 Years and older ,21,18 to 40 years old
NCT02759887,Relationship Between Down Syndrome (DS) and Alzheimer's Disease (AD),Unknown status,Down Syndrome|Alzheimer's Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,40,Interventional,November 2016,June 2019,https://ClinicalTrials.gov/show/NCT02759887,21 Years and older ,21,18 to 40 years old
NCT03282877,iCST Web-application for People With Dementia,"Active, not recruiting",Mild Dementia|Moderate Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,43,Interventional,"May 1, 2018",August 2019,https://ClinicalTrials.gov/show/NCT03282877,21 Years and older ,21,18 to 40 years old
NCT02440646,Natural History of Atherosclerosis in Real-World Patients Underwent Computed Tomography Angiography,Enrolling by invitation,Coronary Atherosclerosis|Coronary Artery Disease|Radiocontrast-induced Thyroid Dysfunction|Contrast-induced Nephropathy|Cerebrovascular Disease|Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 4,1080,Observational,May 2015,February 2020,https://ClinicalTrials.gov/show/NCT02440646,21 Years and older ,21,18 to 40 years old
NCT01005862,Effect of PF-04360365 On ABETA In Patients With Alzheimer's Disease And Healthy Volunteers,Completed,Alzheimer's Disease,All,"21 Years and older   (Adult, Older Adult)",Phase 1,17,Interventional,March 2010,September 2012,https://ClinicalTrials.gov/show/NCT01005862,21 Years and older ,21,18 to 40 years old
NCT01145482,Mechanisms of Insulin Facilitation of Memory,Completed,Memory Disorders,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,12,Interventional,July 2010,April 2014,https://ClinicalTrials.gov/show/NCT01145482,21 Years and older ,21,18 to 40 years old
NCT01892579,Reducing Agitation in People With Dementia: the Customized Activity Trial,Completed,Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,250,Interventional,November 2013,"November 23, 2017",https://ClinicalTrials.gov/show/NCT01892579,21 Years and older ,21,18 to 40 years old
NCT02420535,An Innovative Caregiver Tool to Assess and Manage Behavioral Symptoms of Dementia,Completed,Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,114,Interventional,May 2015,October 2016,https://ClinicalTrials.gov/show/NCT02420535,21 Years and older ,21,18 to 40 years old
NCT00182897,PACT: Providers and Alzheimer's Caregivers Together,Completed,Alzheimer's Disease|Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,120,Interventional,October 2000,November 2005,https://ClinicalTrials.gov/show/NCT00182897,21 Years and older ,21,18 to 40 years old
NCT01550172,Improving Dementia Caregiver Sleep & the Effect on Heart Disease Biomarkers,Completed,Caregivers of Persons With Dementia,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,80,Interventional,April 2012,July 2016,https://ClinicalTrials.gov/show/NCT01550172,21 Years and older ,21,18 to 40 years old
NCT01188070,Caregiver Stress: Interventions to Promote Health and Wellbeing,Completed,Health Promotion,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,354,Interventional,January 2010,May 2014,https://ClinicalTrials.gov/show/NCT01188070,21 Years and older ,21,18 to 40 years old
NCT00119561,Testing the Effectiveness of Telephone Support for Dementia Caregivers,Completed,Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,154,Interventional,February 2005,January 2014,https://ClinicalTrials.gov/show/NCT00119561,21 Years and older ,21,18 to 40 years old
NCT00177489,Coordinating Center for Caregiver Intervention Trial,Completed,Dementia|Alzheimer Disease,All,"21 Years and older   (Adult, Older Adult)",Not Applicable,613,Interventional,June 2002,September 2005,https://ClinicalTrials.gov/show/NCT00177489,21 Years and older ,21,18 to 40 years old
NCT01772537,The Effects of Anesthesia on Patients Undergoing Surgery for Repair of a Thoracoabdominal Aneurysm.,Terminated,Thoracic Aneurysm|Aneurysm Stent|Cardiopulmonary Bypass|Abdominal Aneurysm,All,"21 Years to 100 Years   (Adult, Older Adult)",Not Applicable,14,Interventional,May 2012,February 2014,https://ClinicalTrials.gov/show/NCT01772537,21 Years to 100 Years ,21,18 to 40 years old
NCT02347202,Tools for Distance Delivery of an Evidence-based AD Family Caregiver Intervention,Recruiting,Alzheimer's Disease|Dementia,All,"21 Years to 125 Years   (Adult, Older Adult)",Not Applicable,240,Interventional,October 2015,September 2019,https://ClinicalTrials.gov/show/NCT02347202,21 Years to 125 Years ,21,18 to 40 years old
NCT02741505,Brain Sleep Deprivation MRI Effects (BEDTIME),Not yet recruiting,Alzheimer's Disease,All,21 Years to 30 Years   (Adult),Not Applicable,20,Interventional,June 2019,December 2019,https://ClinicalTrials.gov/show/NCT02741505,21 Years to 30 Years ,21,18 to 40 years old
NCT02061878,A Study to Evaluate the Effect of Bexarotene on Beta-Amyloid and Apolipoprotein E Metabolism in Healthy Subjects,Completed,Alzheimer's Disease,All,21 Years to 50 Years   (Adult),Phase 1,12,Interventional,August 2014,November 2014,https://ClinicalTrials.gov/show/NCT02061878,21 Years to 50 Years ,21,18 to 40 years old
NCT00765115,A Study of Healthy Subjects to Assess the Effect of LY450139 on Amyloid Beta Peptide Production Rate and or Dose Response.,Completed,Alzheimer Disease,Male,21 Years to 50 Years   (Adult),Phase 1,27,Interventional,July 2006,September 2007,https://ClinicalTrials.gov/show/NCT00765115,21 Years to 50 Years ,21,18 to 40 years old
NCT02740634,Molecular and Structural Imaging in Atypical Alzheimer's Disease: A Longitudinal Study,Recruiting,Atypical Alzheimer's Disease|Logopenic Progressive Aphasia (LPA)|Posterior Cortical Atrophy (PCA),All,"21 Years to 80 Years   (Adult, Older Adult)",Not Applicable,60,Interventional,May 2016,March 2021,https://ClinicalTrials.gov/show/NCT02740634,21 Years to 80 Years ,21,18 to 40 years old
NCT03360019,Accurate WiFi-Based Localization of Dementia Patients For Caregiver Support:,Not yet recruiting,"Dementia, Vascular|Alzheimer Dementia|Lewy Body Dementia With Behavioral Disturbance",All,"21 Years to 85 Years   (Adult, Older Adult)",Not Applicable,187,Interventional,September 2019,January 2021,https://ClinicalTrials.gov/show/NCT03360019,21 Years to 85 Years ,21,18 to 40 years old
NCT03393546,Auricular Point Acupressure to Manage Pain in Patients With Alzheimer's Disease and Related Disorders,Recruiting,Pain|Alzheimer Disease,All,"21 Years to 85 Years   (Adult, Older Adult)",Not Applicable,40,Interventional,"August 1, 2018","December 30, 2019",https://ClinicalTrials.gov/show/NCT03393546,21 Years to 85 Years ,21,18 to 40 years old
NCT00438724,Couples Coping With Alzheimer's Disease,Unknown status,Aging|Alzheimer Disease|Dementia,All,"21 Years to 90 Years   (Adult, Older Adult)",Not Applicable,200,Interventional,November 2004,November 2007,https://ClinicalTrials.gov/show/NCT00438724,21 Years to 90 Years ,21,18 to 40 years old
